"level0","level1","level2","Highest qualification","count"
"Overseas Secondary School Qualification","Te Atatu","North Island general electorates","Female",2589
"Not Elsewhere Included(3)","Te Atatu","North Island general electorates","Female",3378
"No Qualification","Tukituki","North Island general electorates","Female",6597
"Level 1 Certificate","Tukituki","North Island general electorates","Female",4308
"Level 2 Certificate","Tukituki","North Island general electorates","Female",3126
"Level 3 Certificate","Tukituki","North Island general electorates","Female",2013
"Level 4 Certificate","Tukituki","North Island general electorates","Female",1488
"Level 5 or Level 6 Diploma(1)","Tukituki","North Island general electorates","Female",2919
"Bachelor Degree and Level 7 Qualification","Tukituki","North Island general electorates","Female",3246
"Post-graduate and Honours Degrees","Tukituki","North Island general electorates","Female",618
"Masters Degree","Tukituki","North Island general electorates","Female",360
"Doctorate Degree","Tukituki","North Island general electorates","Female",63
"Overseas Secondary School Qualification","Tukituki","North Island general electorates","Female",1167
"Not Elsewhere Included(3)","Tukituki","North Island general electorates","Female",3795
"No Qualification","Upper Harbour","North Island general electorates","Female",4011
"Level 1 Certificate","Upper Harbour","North Island general electorates","Female",3003
"Level 2 Certificate","Upper Harbour","North Island general electorates","Female",2505
"Level 3 Certificate","Upper Harbour","North Island general electorates","Female",2649
"Level 4 Certificate","Upper Harbour","North Island general electorates","Female",1152
"Level 5 or Level 6 Diploma(1)","Upper Harbour","North Island general electorates","Female",2220
"Bachelor Degree and Level 7 Qualification","Upper Harbour","North Island general electorates","Female",4077
"Post-graduate and Honours Degrees","Upper Harbour","North Island general electorates","Female",690
"Masters Degree","Upper Harbour","North Island general electorates","Female",600
"Doctorate Degree","Upper Harbour","North Island general electorates","Female",93
"Overseas Secondary School Qualification","Upper Harbour","North Island general electorates","Female",2844
"Not Elsewhere Included(3)","Upper Harbour","North Island general electorates","Female",2736
"No Qualification","Waikato","North Island general electorates","Female",6582
"Level 1 Certificate","Waikato","North Island general electorates","Female",4497
"Level 2 Certificate","Waikato","North Island general electorates","Female",3198
"Level 3 Certificate","Waikato","North Island general electorates","Female",2112
"Level 4 Certificate","Waikato","North Island general electorates","Female",1443
"Level 5 or Level 6 Diploma(1)","Waikato","North Island general electorates","Female",2463
"Bachelor Degree and Level 7 Qualification","Waikato","North Island general electorates","Female",2949
"Post-graduate and Honours Degrees","Waikato","North Island general electorates","Female",558
"Masters Degree","Waikato","North Island general electorates","Female",411
"Doctorate Degree","Waikato","North Island general electorates","Female",102
"Overseas Secondary School Qualification","Waikato","North Island general electorates","Female",1089
"Not Elsewhere Included(3)","Waikato","North Island general electorates","Female",3282
"No Qualification","Wairarapa","North Island general electorates","Female",6699
"Level 1 Certificate","Wairarapa","North Island general electorates","Female",4164
"Level 2 Certificate","Wairarapa","North Island general electorates","Female",3117
"Level 3 Certificate","Wairarapa","North Island general electorates","Female",1962
"Level 4 Certificate","Wairarapa","North Island general electorates","Female",1731
"Level 5 or Level 6 Diploma(1)","Wairarapa","North Island general electorates","Female",2568
"Bachelor Degree and Level 7 Qualification","Wairarapa","North Island general electorates","Female",2571
"Post-graduate and Honours Degrees","Wairarapa","North Island general electorates","Female",561
"Masters Degree","Wairarapa","North Island general electorates","Female",327
"Doctorate Degree","Wairarapa","North Island general electorates","Female",45
"Overseas Secondary School Qualification","Wairarapa","North Island general electorates","Female",864
"Not Elsewhere Included(3)","Wairarapa","North Island general electorates","Female",3009
"No Qualification","Wellington Central","North Island general electorates","Female",1113
"Level 1 Certificate","Wellington Central","North Island general electorates","Female",1221
"Level 2 Certificate","Wellington Central","North Island general electorates","Female",1638
"Level 3 Certificate","Wellington Central","North Island general electorates","Female",5706
"Level 4 Certificate","Wellington Central","North Island general electorates","Female",816
"Level 5 or Level 6 Diploma(1)","Wellington Central","North Island general electorates","Female",2097
"Bachelor Degree and Level 7 Qualification","Wellington Central","North Island general electorates","Female",7608
"Post-graduate and Honours Degrees","Wellington Central","North Island general electorates","Female",2358
"Masters Degree","Wellington Central","North Island general electorates","Female",2280
"Doctorate Degree","Wellington Central","North Island general electorates","Female",474
"Overseas Secondary School Qualification","Wellington Central","North Island general electorates","Female",1506
"Not Elsewhere Included(3)","Wellington Central","North Island general electorates","Female",2046
"No Qualification","Whanganui","North Island general electorates","Female",7785
"Level 1 Certificate","Whanganui","North Island general electorates","Female",4710
"Level 2 Certificate","Whanganui","North Island general electorates","Female",3093
"Level 3 Certificate","Whanganui","North Island general electorates","Female",2121
"Level 4 Certificate","Whanganui","North Island general electorates","Female",1572
"Level 5 or Level 6 Diploma(1)","Whanganui","North Island general electorates","Female",2517
"Bachelor Degree and Level 7 Qualification","Whanganui","North Island general electorates","Female",2283
"Post-graduate and Honours Degrees","Whanganui","North Island general electorates","Female",489
"Masters Degree","Whanganui","North Island general electorates","Female",264
"Doctorate Degree","Whanganui","North Island general electorates","Female",36
"Overseas Secondary School Qualification","Whanganui","North Island general electorates","Female",804
"Not Elsewhere Included(3)","Whanganui","North Island general electorates","Female",4032
"No Qualification","Whangarei","North Island general electorates","Female",6339
"Level 1 Certificate","Whangarei","North Island general electorates","Female",4665
"Level 2 Certificate","Whangarei","North Island general electorates","Female",3060
"Level 3 Certificate","Whangarei","North Island general electorates","Female",2049
"Level 4 Certificate","Whangarei","North Island general electorates","Female",1575
"Level 5 or Level 6 Diploma(1)","Whangarei","North Island general electorates","Female",3111
"Bachelor Degree and Level 7 Qualification","Whangarei","North Island general electorates","Female",3183
"Post-graduate and Honours Degrees","Whangarei","North Island general electorates","Female",705
"Masters Degree","Whangarei","North Island general electorates","Female",423
"Doctorate Degree","Whangarei","North Island general electorates","Female",54
"Overseas Secondary School Qualification","Whangarei","North Island general electorates","Female",1368
"Not Elsewhere Included(3)","Whangarei","North Island general electorates","Female",3891
"No Qualification","Christchurch Central","South Island general electorates","Female",4878
"Level 1 Certificate","Christchurch Central","South Island general electorates","Female",3207
"Level 2 Certificate","Christchurch Central","South Island general electorates","Female",2625
"Level 3 Certificate","Christchurch Central","South Island general electorates","Female",2478
"Level 4 Certificate","Christchurch Central","South Island general electorates","Female",1296
"Level 5 or Level 6 Diploma(1)","Christchurch Central","South Island general electorates","Female",2742
"Bachelor Degree and Level 7 Qualification","Christchurch Central","South Island general electorates","Female",4200
"Post-graduate and Honours Degrees","Christchurch Central","South Island general electorates","Female",999
"Masters Degree","Christchurch Central","South Island general electorates","Female",699
"Doctorate Degree","Christchurch Central","South Island general electorates","Female",159
"Overseas Secondary School Qualification","Christchurch Central","South Island general electorates","Female",1524
"Not Elsewhere Included(3)","Christchurch Central","South Island general electorates","Female",2964
"No Qualification","Christchurch East","South Island general electorates","Female",6195
"Level 1 Certificate","Christchurch East","South Island general electorates","Female",3786
"Level 2 Certificate","Christchurch East","South Island general electorates","Female",2859
"Level 3 Certificate","Christchurch East","South Island general electorates","Female",2064
"Level 4 Certificate","Christchurch East","South Island general electorates","Female",1410
"Level 5 or Level 6 Diploma(1)","Christchurch East","South Island general electorates","Female",2316
"Bachelor Degree and Level 7 Qualification","Christchurch East","South Island general electorates","Female",2523
"Post-graduate and Honours Degrees","Christchurch East","South Island general electorates","Female",597
"Masters Degree","Christchurch East","South Island general electorates","Female",387
"Doctorate Degree","Christchurch East","South Island general electorates","Female",75
"Overseas Secondary School Qualification","Christchurch East","South Island general electorates","Female",1179
"Not Elsewhere Included(3)","Christchurch East","South Island general electorates","Female",3135
"No Qualification","Clutha-Southland","South Island general electorates","Female",5181
"Level 1 Certificate","Clutha-Southland","South Island general electorates","Female",3837
"Level 2 Certificate","Clutha-Southland","South Island general electorates","Female",2877
"Level 3 Certificate","Clutha-Southland","South Island general electorates","Female",1638
"Level 4 Certificate","Clutha-Southland","South Island general electorates","Female",1365
"Level 5 or Level 6 Diploma(1)","Clutha-Southland","South Island general electorates","Female",2538
"Bachelor Degree and Level 7 Qualification","Clutha-Southland","South Island general electorates","Female",3087
"Post-graduate and Honours Degrees","Clutha-Southland","South Island general electorates","Female",666
"Masters Degree","Clutha-Southland","South Island general electorates","Female",306
"Doctorate Degree","Clutha-Southland","South Island general electorates","Female",39
"Overseas Secondary School Qualification","Clutha-Southland","South Island general electorates","Female",1581
"Not Elsewhere Included(3)","Clutha-Southland","South Island general electorates","Female",2760
"No Qualification","Dunedin North","South Island general electorates","Female",3144
"Level 1 Certificate","Dunedin North","South Island general electorates","Female",2088
"Level 2 Certificate","Dunedin North","South Island general electorates","Female",2028
"Level 3 Certificate","Dunedin North","South Island general electorates","Female",6885
"Level 4 Certificate","Dunedin North","South Island general electorates","Female",1188
"Level 5 or Level 6 Diploma(1)","Dunedin North","South Island general electorates","Female",2028
"Bachelor Degree and Level 7 Qualification","Dunedin North","South Island general electorates","Female",4365
"Post-graduate and Honours Degrees","Dunedin North","South Island general electorates","Female",1245
"Masters Degree","Dunedin North","South Island general electorates","Female",963
"Doctorate Degree","Dunedin North","South Island general electorates","Female",489
"Overseas Secondary School Qualification","Dunedin North","South Island general electorates","Female",1221
"Not Elsewhere Included(3)","Dunedin North","South Island general electorates","Female",2478
"No Qualification","Dunedin South","South Island general electorates","Female",5835
"Level 1 Certificate","Dunedin South","South Island general electorates","Female",3588
"Level 2 Certificate","Dunedin South","South Island general electorates","Female",2589
"Level 3 Certificate","Dunedin South","South Island general electorates","Female",2151
"Level 4 Certificate","Dunedin South","South Island general electorates","Female",1518
"Level 5 or Level 6 Diploma(1)","Dunedin South","South Island general electorates","Female",2250
"Bachelor Degree and Level 7 Qualification","Dunedin South","South Island general electorates","Female",3150
"Post-graduate and Honours Degrees","Dunedin South","South Island general electorates","Female",834
"Masters Degree","Dunedin South","South Island general electorates","Female",621
"Doctorate Degree","Dunedin South","South Island general electorates","Female",270
"Overseas Secondary School Qualification","Dunedin South","South Island general electorates","Female",765
"Not Elsewhere Included(3)","Dunedin South","South Island general electorates","Female",2658
"No Qualification","Ilam","South Island general electorates","Female",3483
"Level 1 Certificate","Ilam","South Island general electorates","Female",2757
"Level 2 Certificate","Ilam","South Island general electorates","Female",2604
"Level 3 Certificate","Ilam","South Island general electorates","Female",3084
"Level 4 Certificate","Ilam","South Island general electorates","Female",1116
"Level 5 or Level 6 Diploma(1)","Ilam","South Island general electorates","Female",2991
"Bachelor Degree and Level 7 Qualification","Ilam","South Island general electorates","Female",4470
"Post-graduate and Honours Degrees","Ilam","South Island general electorates","Female",1038
"Masters Degree","Ilam","South Island general electorates","Female",849
"Doctorate Degree","Ilam","South Island general electorates","Female",264
"Overseas Secondary School Qualification","Ilam","South Island general electorates","Female",1788
"Not Elsewhere Included(3)","Ilam","South Island general electorates","Female",1974
"No Qualification","Invercargill","South Island general electorates","Female",6714
"Level 1 Certificate","Invercargill","South Island general electorates","Female",4299
"Level 2 Certificate","Invercargill","South Island general electorates","Female",2937
"Level 3 Certificate","Invercargill","South Island general electorates","Female",1821
"Level 4 Certificate","Invercargill","South Island general electorates","Female",1449
"Level 5 or Level 6 Diploma(1)","Invercargill","South Island general electorates","Female",2208
"Bachelor Degree and Level 7 Qualification","Invercargill","South Island general electorates","Female",2670
"Post-graduate and Honours Degrees","Invercargill","South Island general electorates","Female",528
"Masters Degree","Invercargill","South Island general electorates","Female",231
"Doctorate Degree","Invercargill","South Island general electorates","Female",27
"Overseas Secondary School Qualification","Invercargill","South Island general electorates","Female",699
"Not Elsewhere Included(3)","Invercargill","South Island general electorates","Female",2751
"No Qualification","Kaikoura","South Island general electorates","Female",5682
"Level 1 Certificate","Kaikoura","South Island general electorates","Female",4029
"Level 2 Certificate","Kaikoura","South Island general electorates","Female",2970
"Level 3 Certificate","Kaikoura","South Island general electorates","Female",1815
"Level 4 Certificate","Kaikoura","South Island general electorates","Female",1554
"Level 5 or Level 6 Diploma(1)","Kaikoura","South Island general electorates","Female",2775
"Bachelor Degree and Level 7 Qualification","Kaikoura","South Island general electorates","Female",2496
"Post-graduate and Honours Degrees","Kaikoura","South Island general electorates","Female",561
"Masters Degree","Kaikoura","South Island general electorates","Female",366
"Doctorate Degree","Kaikoura","South Island general electorates","Female",69
"Overseas Secondary School Qualification","Kaikoura","South Island general electorates","Female",1197
"Not Elsewhere Included(3)","Kaikoura","South Island general electorates","Female",2805
"No Qualification","Nelson","South Island general electorates","Female",5523
"Level 1 Certificate","Nelson","South Island general electorates","Female",3636
"Level 2 Certificate","Nelson","South Island general electorates","Female",2970
"Level 3 Certificate","Nelson","South Island general electorates","Female",1908
"Level 4 Certificate","Nelson","South Island general electorates","Female",1638
"Level 5 or Level 6 Diploma(1)","Nelson","South Island general electorates","Female",3072
"Bachelor Degree and Level 7 Qualification","Nelson","South Island general electorates","Female",3042
"Post-graduate and Honours Degrees","Nelson","South Island general electorates","Female",792
"Masters Degree","Nelson","South Island general electorates","Female",543
"Doctorate Degree","Nelson","South Island general electorates","Female",102
"Overseas Secondary School Qualification","Nelson","South Island general electorates","Female",1290
"Not Elsewhere Included(3)","Nelson","South Island general electorates","Female",2352
"No Qualification","Port Hills","South Island general electorates","Female",4491
"Level 1 Certificate","Port Hills","South Island general electorates","Female",3402
"Level 2 Certificate","Port Hills","South Island general electorates","Female",2760
"Level 3 Certificate","Port Hills","South Island general electorates","Female",2055
"Level 4 Certificate","Port Hills","South Island general electorates","Female",1350
"Level 5 or Level 6 Diploma(1)","Port Hills","South Island general electorates","Female",3117
"Bachelor Degree and Level 7 Qualification","Port Hills","South Island general electorates","Female",4041
"Post-graduate and Honours Degrees","Port Hills","South Island general electorates","Female",1239
"Masters Degree","Port Hills","South Island general electorates","Female",873
"Doctorate Degree","Port Hills","South Island general electorates","Female",243
"Overseas Secondary School Qualification","Port Hills","South Island general electorates","Female",1299
"Not Elsewhere Included(3)","Port Hills","South Island general electorates","Female",2427
"No Qualification","Rangitata","South Island general electorates","Female",6801
"Level 1 Certificate","Rangitata","South Island general electorates","Female",4416
"Level 2 Certificate","Rangitata","South Island general electorates","Female",3180
"Level 3 Certificate","Rangitata","South Island general electorates","Female",1770
"Level 4 Certificate","Rangitata","South Island general electorates","Female",1392
"Level 5 or Level 6 Diploma(1)","Rangitata","South Island general electorates","Female",2589
"Bachelor Degree and Level 7 Qualification","Rangitata","South Island general electorates","Female",2157
"Post-graduate and Honours Degrees","Rangitata","South Island general electorates","Female",423
"Masters Degree","Rangitata","South Island general electorates","Female",189
"Doctorate Degree","Rangitata","South Island general electorates","Female",21
"Overseas Secondary School Qualification","Rangitata","South Island general electorates","Female",960
"Not Elsewhere Included(3)","Rangitata","South Island general electorates","Female",2742
"No Qualification","Selwyn","South Island general electorates","Female",3549
"Level 1 Certificate","Selwyn","South Island general electorates","Female",3339
"Level 2 Certificate","Selwyn","South Island general electorates","Female",2868
"Level 3 Certificate","Selwyn","South Island general electorates","Female",2082
"Level 4 Certificate","Selwyn","South Island general electorates","Female",1260
"Level 5 or Level 6 Diploma(1)","Selwyn","South Island general electorates","Female",2631
"Bachelor Degree and Level 7 Qualification","Selwyn","South Island general electorates","Female",3057
"Post-graduate and Honours Degrees","Selwyn","South Island general electorates","Female",705
"Masters Degree","Selwyn","South Island general electorates","Female",543
"Doctorate Degree","Selwyn","South Island general electorates","Female",189
"Overseas Secondary School Qualification","Selwyn","South Island general electorates","Female",1071
"Not Elsewhere Included(3)","Selwyn","South Island general electorates","Female",1548
"No Qualification","Waimakariri","South Island general electorates","Female",5343
"Level 1 Certificate","Waimakariri","South Island general electorates","Female",3894
"Level 2 Certificate","Waimakariri","South Island general electorates","Female",2907
"Level 3 Certificate","Waimakariri","South Island general electorates","Female",1767
"Level 4 Certificate","Waimakariri","South Island general electorates","Female",1389
"Level 5 or Level 6 Diploma(1)","Waimakariri","South Island general electorates","Female",2529
"Bachelor Degree and Level 7 Qualification","Waimakariri","South Island general electorates","Female",2373
"Post-graduate and Honours Degrees","Waimakariri","South Island general electorates","Female",537
"Masters Degree","Waimakariri","South Island general electorates","Female",306
"Doctorate Degree","Waimakariri","South Island general electorates","Female",57
"Overseas Secondary School Qualification","Waimakariri","South Island general electorates","Female",1170
"Not Elsewhere Included(3)","Waimakariri","South Island general electorates","Female",2061
"No Qualification","Waitaki","South Island general electorates","Female",5721
"Level 1 Certificate","Waitaki","South Island general electorates","Female",4110
"Level 2 Certificate","Waitaki","South Island general electorates","Female",2955
"Level 3 Certificate","Waitaki","South Island general electorates","Female",1710
"Level 4 Certificate","Waitaki","South Island general electorates","Female",1563
"Level 5 or Level 6 Diploma(1)","Waitaki","South Island general electorates","Female",2937
"Bachelor Degree and Level 7 Qualification","Waitaki","South Island general electorates","Female",2736
"Post-graduate and Honours Degrees","Waitaki","South Island general electorates","Female",645
"Masters Degree","Waitaki","South Island general electorates","Female",375
"Doctorate Degree","Waitaki","South Island general electorates","Female",45
"Overseas Secondary School Qualification","Waitaki","South Island general electorates","Female",1176
"Not Elsewhere Included(3)","Waitaki","South Island general electorates","Female",2769
"No Qualification","West Coast-Tasman","South Island general electorates","Female",5679
"Level 1 Certificate","West Coast-Tasman","South Island general electorates","Female",3807
"Level 2 Certificate","West Coast-Tasman","South Island general electorates","Female",2790
"Level 3 Certificate","West Coast-Tasman","South Island general electorates","Female",1683
"Level 4 Certificate","West Coast-Tasman","South Island general electorates","Female",1509
"Level 5 or Level 6 Diploma(1)","West Coast-Tasman","South Island general electorates","Female",2610
"Bachelor Degree and Level 7 Qualification","West Coast-Tasman","South Island general electorates","Female",2304
"Post-graduate and Honours Degrees","West Coast-Tasman","South Island general electorates","Female",627
"Masters Degree","West Coast-Tasman","South Island general electorates","Female",387
"Doctorate Degree","West Coast-Tasman","South Island general electorates","Female",60
"Overseas Secondary School Qualification","West Coast-Tasman","South Island general electorates","Female",1053
"Not Elsewhere Included(3)","West Coast-Tasman","South Island general electorates","Female",2757
"No Qualification","Wigram","South Island general electorates","Female",5043
"Level 1 Certificate","Wigram","South Island general electorates","Female",3024
"Level 2 Certificate","Wigram","South Island general electorates","Female",2277
"Level 3 Certificate","Wigram","South Island general electorates","Female",2691
"Level 4 Certificate","Wigram","South Island general electorates","Female",1113
"Level 5 or Level 6 Diploma(1)","Wigram","South Island general electorates","Female",2163
"Bachelor Degree and Level 7 Qualification","Wigram","South Island general electorates","Female",3312
"Post-graduate and Honours Degrees","Wigram","South Island general electorates","Female",612
"Masters Degree","Wigram","South Island general electorates","Female",504
"Doctorate Degree","Wigram","South Island general electorates","Female",114
"Overseas Secondary School Qualification","Wigram","South Island general electorates","Female",1695
"Not Elsewhere Included(3)","Wigram","South Island general electorates","Female",2805
"No Qualification","Area Outside General Electorate","South Island general electorates","Female",NA
"Level 1 Certificate","Area Outside General Electorate","South Island general electorates","Female",NA
"Level 2 Certificate","Area Outside General Electorate","South Island general electorates","Female",NA
"Level 3 Certificate","Area Outside General Electorate","South Island general electorates","Female",NA
"Level 4 Certificate","Area Outside General Electorate","South Island general electorates","Female",NA
"Level 5 or Level 6 Diploma(1)","Area Outside General Electorate","South Island general electorates","Female",NA
"Bachelor Degree and Level 7 Qualification","Area Outside General Electorate","South Island general electorates","Female",NA
"Post-graduate and Honours Degrees","Area Outside General Electorate","South Island general electorates","Female",NA
"Masters Degree","Area Outside General Electorate","South Island general electorates","Female",NA
"Doctorate Degree","Area Outside General Electorate","South Island general electorates","Female",NA
"Overseas Secondary School Qualification","Area Outside General Electorate","South Island general electorates","Female",NA
"Not Elsewhere Included(3)","Area Outside General Electorate","South Island general electorates","Female",NA
