"level0","level1","level2","Highest qualification","count"
"Level 5 or Level 6 Diploma(1)","Mangere","North Island general electorates","Male",1002
"Bachelor Degree and Level 7 Qualification","Mangere","North Island general electorates","Male",1050
"Post-graduate and Honours Degrees","Mangere","North Island general electorates","Male",162
"Masters Degree","Mangere","North Island general electorates","Male",207
"Doctorate Degree","Mangere","North Island general electorates","Male",30
"Overseas Secondary School Qualification","Mangere","North Island general electorates","Male",2025
"Not Elsewhere Included(3)","Mangere","North Island general electorates","Male",4365
"No Qualification","Manukau East","North Island general electorates","Male",5646
"Level 1 Certificate","Manukau East","North Island general electorates","Male",2097
"Level 2 Certificate","Manukau East","North Island general electorates","Male",1719
"Level 3 Certificate","Manukau East","North Island general electorates","Male",1791
"Level 4 Certificate","Manukau East","North Island general electorates","Male",1845
"Level 5 or Level 6 Diploma(1)","Manukau East","North Island general electorates","Male",1482
"Bachelor Degree and Level 7 Qualification","Manukau East","North Island general electorates","Male",1338
"Post-graduate and Honours Degrees","Manukau East","North Island general electorates","Male",186
"Masters Degree","Manukau East","North Island general electorates","Male",264
"Doctorate Degree","Manukau East","North Island general electorates","Male",24
"Overseas Secondary School Qualification","Manukau East","North Island general electorates","Male",2625
"Not Elsewhere Included(3)","Manukau East","North Island general electorates","Male",4236
"No Qualification","Manurewa","North Island general electorates","Male",6159
"Level 1 Certificate","Manurewa","North Island general electorates","Male",2607
"Level 2 Certificate","Manurewa","North Island general electorates","Male",2025
"Level 3 Certificate","Manurewa","North Island general electorates","Male",1833
"Level 4 Certificate","Manurewa","North Island general electorates","Male",2316
"Level 5 or Level 6 Diploma(1)","Manurewa","North Island general electorates","Male",1392
"Bachelor Degree and Level 7 Qualification","Manurewa","North Island general electorates","Male",1377
"Post-graduate and Honours Degrees","Manurewa","North Island general electorates","Male",198
"Masters Degree","Manurewa","North Island general electorates","Male",267
"Doctorate Degree","Manurewa","North Island general electorates","Male",42
"Overseas Secondary School Qualification","Manurewa","North Island general electorates","Male",2259
"Not Elsewhere Included(3)","Manurewa","North Island general electorates","Male",4746
"No Qualification","Maungakiekie","North Island general electorates","Male",3933
"Level 1 Certificate","Maungakiekie","North Island general electorates","Male",1950
"Level 2 Certificate","Maungakiekie","North Island general electorates","Male",2016
"Level 3 Certificate","Maungakiekie","North Island general electorates","Male",2310
"Level 4 Certificate","Maungakiekie","North Island general electorates","Male",2229
"Level 5 or Level 6 Diploma(1)","Maungakiekie","North Island general electorates","Male",1779
"Bachelor Degree and Level 7 Qualification","Maungakiekie","North Island general electorates","Male",3960
"Post-graduate and Honours Degrees","Maungakiekie","North Island general electorates","Male",666
"Masters Degree","Maungakiekie","North Island general electorates","Male",822
"Doctorate Degree","Maungakiekie","North Island general electorates","Male",177
"Overseas Secondary School Qualification","Maungakiekie","North Island general electorates","Male",2103
"Not Elsewhere Included(3)","Maungakiekie","North Island general electorates","Male",3453
"No Qualification","Mt Albert","North Island general electorates","Male",2241
"Level 1 Certificate","Mt Albert","North Island general electorates","Male",1581
"Level 2 Certificate","Mt Albert","North Island general electorates","Male",1989
"Level 3 Certificate","Mt Albert","North Island general electorates","Male",2646
"Level 4 Certificate","Mt Albert","North Island general electorates","Male",1800
"Level 5 or Level 6 Diploma(1)","Mt Albert","North Island general electorates","Male",2016
"Bachelor Degree and Level 7 Qualification","Mt Albert","North Island general electorates","Male",5595
"Post-graduate and Honours Degrees","Mt Albert","North Island general electorates","Male",1068
"Masters Degree","Mt Albert","North Island general electorates","Male",1353
"Doctorate Degree","Mt Albert","North Island general electorates","Male",345
"Overseas Secondary School Qualification","Mt Albert","North Island general electorates","Male",1776
"Not Elsewhere Included(3)","Mt Albert","North Island general electorates","Male",2493
"No Qualification","Mt Roskill","North Island general electorates","Male",2958
"Level 1 Certificate","Mt Roskill","North Island general electorates","Male",1578
"Level 2 Certificate","Mt Roskill","North Island general electorates","Male",1665
"Level 3 Certificate","Mt Roskill","North Island general electorates","Male",2478
"Level 4 Certificate","Mt Roskill","North Island general electorates","Male",1806
"Level 5 or Level 6 Diploma(1)","Mt Roskill","North Island general electorates","Male",1836
"Bachelor Degree and Level 7 Qualification","Mt Roskill","North Island general electorates","Male",4329
"Post-graduate and Honours Degrees","Mt Roskill","North Island general electorates","Male",672
"Masters Degree","Mt Roskill","North Island general electorates","Male",1158
"Doctorate Degree","Mt Roskill","North Island general electorates","Male",213
"Overseas Secondary School Qualification","Mt Roskill","North Island general electorates","Male",2469
"Not Elsewhere Included(3)","Mt Roskill","North Island general electorates","Male",2370
"No Qualification","Napier","North Island general electorates","Male",6168
"Level 1 Certificate","Napier","North Island general electorates","Male",3393
