"level0","level1","Legally registered relationship status(1)","count"
"Bay of Plenty","North Island general electorates","Widowed or surviving civil union partner",2808
"Botany","North Island general electorates","Widowed or surviving civil union partner",1860
"Coromandel","North Island general electorates","Widowed or surviving civil union partner",3789
"East Coast","North Island general electorates","Widowed or surviving civil union partner",4554
"East Coast Bays","North Island general electorates","Widowed or surviving civil union partner",1986
"Epsom","North Island general electorates","Widowed or surviving civil union partner",1752
"Hamilton East","North Island general electorates","Widowed or surviving civil union partner",2469
"Hamilton West","North Island general electorates","Widowed or surviving civil union partner",2403
"Helensville","North Island general electorates","Widowed or surviving civil union partner",1371
"Hunua","North Island general electorates","Widowed or surviving civil union partner",2244
"Hutt South","North Island general electorates","Widowed or surviving civil union partner",2556
"Kelston","North Island general electorates","Widowed or surviving civil union partner",1896
"Mana","North Island general electorates","Widowed or surviving civil union partner",2436
"Mangere","North Island general electorates","Widowed or surviving civil union partner",1944
"Manukau East","North Island general electorates","Widowed or surviving civil union partner",2133
"Manurewa","North Island general electorates","Widowed or surviving civil union partner",2022
"Maungakiekie","North Island general electorates","Widowed or surviving civil union partner",2160
"Mt Albert","North Island general electorates","Widowed or surviving civil union partner",1533
"Mt Roskill","North Island general electorates","Widowed or surviving civil union partner",2172
"Napier","North Island general electorates","Widowed or surviving civil union partner",3702
"New Lynn","North Island general electorates","Widowed or surviving civil union partner",2514
"New Plymouth","North Island general electorates","Widowed or surviving civil union partner",3528
"North Shore","North Island general electorates","Widowed or surviving civil union partner",2523
"Northcote","North Island general electorates","Widowed or surviving civil union partner",2004
"Northland","North Island general electorates","Widowed or surviving civil union partner",3975
"Ohariu","North Island general electorates","Widowed or surviving civil union partner",1749
"Otaki","North Island general electorates","Widowed or surviving civil union partner",4434
"Pakuranga","North Island general electorates","Widowed or surviving civil union partner",2427
"Palmerston North","North Island general electorates","Widowed or surviving civil union partner",2901
"Papakura","North Island general electorates","Widowed or surviving civil union partner",2517
"Rangitikei","North Island general electorates","Widowed or surviving civil union partner",2739
"Rimutaka","North Island general electorates","Widowed or surviving civil union partner",3108
"Rodney","North Island general electorates","Widowed or surviving civil union partner",3276
"Rongotai","North Island general electorates","Widowed or surviving civil union partner",1926
"Rotorua","North Island general electorates","Widowed or surviving civil union partner",3264
"Tamaki","North Island general electorates","Widowed or surviving civil union partner",2250
"Taranaki-King Country","North Island general electorates","Widowed or surviving civil union partner",2673
"Taupo","North Island general electorates","Widowed or surviving civil union partner",3585
"Tauranga","North Island general electorates","Widowed or surviving civil union partner",3774
"Te Atatu","North Island general electorates","Widowed or surviving civil union partner",2442
"Tukituki","North Island general electorates","Widowed or surviving civil union partner",3237
"Upper Harbour","North Island general electorates","Widowed or surviving civil union partner",1590
"Waikato","North Island general electorates","Widowed or surviving civil union partner",2931
"Wairarapa","North Island general electorates","Widowed or surviving civil union partner",3573
"Wellington Central","North Island general electorates","Widowed or surviving civil union partner",1182
"Whanganui","North Island general electorates","Widowed or surviving civil union partner",3966
"Whangarei","North Island general electorates","Widowed or surviving civil union partner",3756
"Christchurch Central","South Island general electorates","Widowed or surviving civil union partner",2871
"Christchurch East","South Island general electorates","Widowed or surviving civil union partner",2598
"Clutha-Southland","South Island general electorates","Widowed or surviving civil union partner",2541
"Dunedin North","South Island general electorates","Widowed or surviving civil union partner",1983
"Dunedin South","South Island general electorates","Widowed or surviving civil union partner",3501
"Ilam","South Island general electorates","Widowed or surviving civil union partner",2877
"Invercargill","South Island general electorates","Widowed or surviving civil union partner",3231
"Kaikoura","South Island general electorates","Widowed or surviving civil union partner",2967
"Nelson","South Island general electorates","Widowed or surviving civil union partner",3168
"Port Hills","South Island general electorates","Widowed or surviving civil union partner",2877
"Rangitata","South Island general electorates","Widowed or surviving civil union partner",3570
"Selwyn","South Island general electorates","Widowed or surviving civil union partner",1470
"Waimakariri","South Island general electorates","Widowed or surviving civil union partner",2535
"Waitaki","South Island general electorates","Widowed or surviving civil union partner",3204
"West Coast-Tasman","South Island general electorates","Widowed or surviving civil union partner",2685
"Wigram","South Island general electorates","Widowed or surviving civil union partner",2694
"Area Outside General Electorate","South Island general electorates","Widowed or surviving civil union partner",NA
"Auckland Central","North Island general electorates","Never married and never in a civil union",28179
"Bay of Plenty","North Island general electorates","Never married and never in a civil union",13026
"Botany","North Island general electorates","Never married and never in a civil union",13617
"Coromandel","North Island general electorates","Never married and never in a civil union",12852
"East Coast","North Island general electorates","Never married and never in a civil union",22920
"East Coast Bays","North Island general electorates","Never married and never in a civil union",13395
"Epsom","North Island general electorates","Never married and never in a civil union",18192
"Hamilton East","North Island general electorates","Never married and never in a civil union",21063
"Hamilton West","North Island general electorates","Never married and never in a civil union",19764
"Helensville","North Island general electorates","Never married and never in a civil union",13929
"Hunua","North Island general electorates","Never married and never in a civil union",13236
"Hutt South","North Island general electorates","Never married and never in a civil union",18081
"Kelston","North Island general electorates","Never married and never in a civil union",17025
"Mana","North Island general electorates","Never married and never in a civil union",17205
"Mangere","North Island general electorates","Never married and never in a civil union",15888
"Manukau East","North Island general electorates","Never married and never in a civil union",15504
"Manurewa","North Island general electorates","Never married and never in a civil union",18024
"Maungakiekie","North Island general electorates","Never married and never in a civil union",18981
"Mt Albert","North Island general electorates","Never married and never in a civil union",22425
"Mt Roskill","North Island general electorates","Never married and never in a civil union",16893
"Napier","North Island general electorates","Never married and never in a civil union",16464
"New Lynn","North Island general electorates","Never married and never in a civil union",15168
"New Plymouth","North Island general electorates","Never married and never in a civil union",15939
"North Shore","North Island general electorates","Never married and never in a civil union",15534
"Northcote","North Island general electorates","Never married and never in a civil union",17133
"Northland","North Island general electorates","Never married and never in a civil union",17292
"Ohariu","North Island general electorates","Never married and never in a civil union",14793
"Otaki","North Island general electorates","Never married and never in a civil union",13035
"Pakuranga","North Island general electorates","Never married and never in a civil union",13752
"Palmerston North","North Island general electorates","Never married and never in a civil union",19698
"Papakura","North Island general electorates","Never married and never in a civil union",17481
"Rangitikei","North Island general electorates","Never married and never in a civil union",16503
"Rimutaka","North Island general electorates","Never married and never in a civil union",17550
"Rodney","North Island general electorates","Never married and never in a civil union",11613
"Rongotai","North Island general electorates","Never married and never in a civil union",21960
"Rotorua","North Island general electorates","Never married and never in a civil union",18162
"Tamaki","North Island general electorates","Never married and never in a civil union",13632
"Taranaki-King Country","North Island general electorates","Never married and never in a civil union",14979
"Taupo","North Island general electorates","Never married and never in a civil union",16668
"Tauranga","North Island general electorates","Never married and never in a civil union",13866
"Te Atatu","North Island general electorates","Never married and never in a civil union",16734
"Tukituki","North Island general electorates","Never married and never in a civil union",16044
"Upper Harbour","North Island general electorates","Never married and never in a civil union",16389
"Waikato","North Island general electorates","Never married and never in a civil union",15936
"Wairarapa","North Island general electorates","Never married and never in a civil union",14277
"Wellington Central","North Island general electorates","Never married and never in a civil union",30546
"Whanganui","North Island general electorates","Never married and never in a civil union",17001
"Whangarei","North Island general electorates","Never married and never in a civil union",15642
"Christchurch Central","South Island general electorates","Never married and never in a civil union",21615
"Christchurch East","South Island general electorates","Never married and never in a civil union",17253
"Clutha-Southland","South Island general electorates","Never married and never in a civil union",15657
"Dunedin North","South Island general electorates","Never married and never in a civil union",25932
"Dunedin South","South Island general electorates","Never married and never in a civil union",14436
