"level0","level1","level2","Unpaid activities(1)","count"
"No Activities","Kaikoura","South Island general electorates","Female",1671
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Kaikoura","South Island general electorates","Female",21609
"Looking After a Child Who is a Member of Own Household","Kaikoura","South Island general electorates","Female",7380
"Looking After a Member of Own Household Who is Ill or Has a Disability","Kaikoura","South Island general electorates","Female",1959
"Looking After a Child Who Does Not Live in Own Household","Kaikoura","South Island general electorates","Female",4791
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Kaikoura","South Island general electorates","Female",2877
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Kaikoura","South Island general electorates","Female",4863
"Not Elsewhere Included(3)","Kaikoura","South Island general electorates","Female",2556
"No Activities","Nelson","South Island general electorates","Female",2034
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Nelson","South Island general electorates","Female",22164
"Looking After a Child Who is a Member of Own Household","Nelson","South Island general electorates","Female",8136
"Looking After a Member of Own Household Who is Ill or Has a Disability","Nelson","South Island general electorates","Female",1986
"Looking After a Child Who Does Not Live in Own Household","Nelson","South Island general electorates","Female",5145
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Nelson","South Island general electorates","Female",3204
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Nelson","South Island general electorates","Female",4779
"Not Elsewhere Included(3)","Nelson","South Island general electorates","Female",2130
"No Activities","Port Hills","South Island general electorates","Female",1890
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Port Hills","South Island general electorates","Female",22713
"Looking After a Child Who is a Member of Own Household","Port Hills","South Island general electorates","Female",8415
"Looking After a Member of Own Household Who is Ill or Has a Disability","Port Hills","South Island general electorates","Female",2010
"Looking After a Child Who Does Not Live in Own Household","Port Hills","South Island general electorates","Female",5376
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Port Hills","South Island general electorates","Female",3183
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Port Hills","South Island general electorates","Female",4161
"Not Elsewhere Included(3)","Port Hills","South Island general electorates","Female",2217
"No Activities","Rangitata","South Island general electorates","Female",2025
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Rangitata","South Island general electorates","Female",21666
"Looking After a Child Who is a Member of Own Household","Rangitata","South Island general electorates","Female",7680
"Looking After a Member of Own Household Who is Ill or Has a Disability","Rangitata","South Island general electorates","Female",1938
"Looking After a Child Who Does Not Live in Own Household","Rangitata","South Island general electorates","Female",5115
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Rangitata","South Island general electorates","Female",3000
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Rangitata","South Island general electorates","Female",4566
"Not Elsewhere Included(3)","Rangitata","South Island general electorates","Female",2382
"No Activities","Selwyn","South Island general electorates","Female",1146
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Selwyn","South Island general electorates","Female",19884
"Looking After a Child Who is a Member of Own Household","Selwyn","South Island general electorates","Female",8169
"Looking After a Member of Own Household Who is Ill or Has a Disability","Selwyn","South Island general electorates","Female",1758
"Looking After a Child Who Does Not Live in Own Household","Selwyn","South Island general electorates","Female",4545
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Selwyn","South Island general electorates","Female",2259
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Selwyn","South Island general electorates","Female",3756
"Not Elsewhere Included(3)","Selwyn","South Island general electorates","Female",1497
"No Activities","Waimakariri","South Island general electorates","Female",1689
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Waimakariri","South Island general electorates","Female",20514
"Looking After a Child Who is a Member of Own Household","Waimakariri","South Island general electorates","Female",7764
"Looking After a Member of Own Household Who is Ill or Has a Disability","Waimakariri","South Island general electorates","Female",1995
"Looking After a Child Who Does Not Live in Own Household","Waimakariri","South Island general electorates","Female",4788
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Waimakariri","South Island general electorates","Female",2559
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Waimakariri","South Island general electorates","Female",3522
"Not Elsewhere Included(3)","Waimakariri","South Island general electorates","Female",1707
"No Activities","Waitaki","South Island general electorates","Female",1704
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Waitaki","South Island general electorates","Female",22158
"Looking After a Child Who is a Member of Own Household","Waitaki","South Island general electorates","Female",7386
"Looking After a Member of Own Household Who is Ill or Has a Disability","Waitaki","South Island general electorates","Female",1812
"Looking After a Child Who Does Not Live in Own Household","Waitaki","South Island general electorates","Female",5034
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Waitaki","South Island general electorates","Female",2832
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Waitaki","South Island general electorates","Female",5301
"Not Elsewhere Included(3)","Waitaki","South Island general electorates","Female",2418
"No Activities","West Coast-Tasman","South Island general electorates","Female",1593
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","West Coast-Tasman","South Island general electorates","Female",20661
"Looking After a Child Who is a Member of Own Household","West Coast-Tasman","South Island general electorates","Female",7497
"Looking After a Member of Own Household Who is Ill or Has a Disability","West Coast-Tasman","South Island general electorates","Female",2070
"Looking After a Child Who Does Not Live in Own Household","West Coast-Tasman","South Island general electorates","Female",5082
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","West Coast-Tasman","South Island general electorates","Female",3030
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","West Coast-Tasman","South Island general electorates","Female",4872
"Not Elsewhere Included(3)","West Coast-Tasman","South Island general electorates","Female",2571
"No Activities","Wigram","South Island general electorates","Female",2388
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Wigram","South Island general electorates","Female",19821
"Looking After a Child Who is a Member of Own Household","Wigram","South Island general electorates","Female",6594
"Looking After a Member of Own Household Who is Ill or Has a Disability","Wigram","South Island general electorates","Female",1704
"Looking After a Child Who Does Not Live in Own Household","Wigram","South Island general electorates","Female",4059
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Wigram","South Island general electorates","Female",2199
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Wigram","South Island general electorates","Female",3039
"Not Elsewhere Included(3)","Wigram","South Island general electorates","Female",2580
"No Activities","Area Outside General Electorate","South Island general electorates","Female",NA
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Area Outside General Electorate","South Island general electorates","Female",NA
"Looking After a Child Who is a Member of Own Household","Area Outside General Electorate","South Island general electorates","Female",NA
"Looking After a Member of Own Household Who is Ill or Has a Disability","Area Outside General Electorate","South Island general electorates","Female",NA
"Looking After a Child Who Does Not Live in Own Household","Area Outside General Electorate","South Island general electorates","Female",NA
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Area Outside General Electorate","South Island general electorates","Female",NA
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Area Outside General Electorate","South Island general electorates","Female",NA
"Not Elsewhere Included(3)","Area Outside General Electorate","South Island general electorates","Female",NA
