"level0","level1","level2","Age group and sex","count"
"50–54 Years","Rodney","North Island general electorates","Female",2334
"55–59 Years","Rodney","North Island general electorates","Female",2016
"60–64 Years","Rodney","North Island general electorates","Female",2148
"65–69 Years","Rodney","North Island general electorates","Female",2178
"70–74 Years","Rodney","North Island general electorates","Female",1770
"75–79 Years","Rodney","North Island general electorates","Female",1383
"80–84 Years","Rodney","North Island general electorates","Female",1062
"85 Years And Over","Rodney","North Island general electorates","Female",1101
"18 Years And Over","Rodney","North Island general electorates","Female",25383
"0–4 Years","Rongotai","North Island general electorates","Female",2121
"5–9 Years","Rongotai","North Island general electorates","Female",1962
"10–14 Years","Rongotai","North Island general electorates","Female",1728
"15–19 Years","Rongotai","North Island general electorates","Female",1722
"20–24 Years","Rongotai","North Island general electorates","Female",2736
"25–29 Years","Rongotai","North Island general electorates","Female",2715
"30–34 Years","Rongotai","North Island general electorates","Female",2751
"35–39 Years","Rongotai","North Island general electorates","Female",2724
"40–44 Years","Rongotai","North Island general electorates","Female",2718
"45–49 Years","Rongotai","North Island general electorates","Female",2583
"50–54 Years","Rongotai","North Island general electorates","Female",2259
"55–59 Years","Rongotai","North Island general electorates","Female",1776
"60–64 Years","Rongotai","North Island general electorates","Female",1407
"65–69 Years","Rongotai","North Island general electorates","Female",1035
"70–74 Years","Rongotai","North Island general electorates","Female",834
"75–79 Years","Rongotai","North Island general electorates","Female",627
"80–84 Years","Rongotai","North Island general electorates","Female",537
"85 Years And Over","Rongotai","North Island general electorates","Female",594
"18 Years And Over","Rongotai","North Island general electorates","Female",26019
"0–4 Years","Rotorua","North Island general electorates","Female",2811
"5–9 Years","Rotorua","North Island general electorates","Female",2895
"10–14 Years","Rotorua","North Island general electorates","Female",2913
"15–19 Years","Rotorua","North Island general electorates","Female",2646
"20–24 Years","Rotorua","North Island general electorates","Female",2271
"25–29 Years","Rotorua","North Island general electorates","Female",2253
"30–34 Years","Rotorua","North Island general electorates","Female",2175
"35–39 Years","Rotorua","North Island general electorates","Female",2541
"40–44 Years","Rotorua","North Island general electorates","Female",2862
"45–49 Years","Rotorua","North Island general electorates","Female",2886
"50–54 Years","Rotorua","North Island general electorates","Female",2916
"55–59 Years","Rotorua","North Island general electorates","Female",2550
"60–64 Years","Rotorua","North Island general electorates","Female",2244
"65–69 Years","Rotorua","North Island general electorates","Female",1830
"70–74 Years","Rotorua","North Island general electorates","Female",1440
"75–79 Years","Rotorua","North Island general electorates","Female",1020
"80–84 Years","Rotorua","North Island general electorates","Female",801
"85 Years And Over","Rotorua","North Island general electorates","Female",852
"18 Years And Over","Rotorua","North Island general electorates","Female",29475
"0–4 Years","Tamaki","North Island general electorates","Female",2034
"5–9 Years","Tamaki","North Island general electorates","Female",2097
"10–14 Years","Tamaki","North Island general electorates","Female",1818
"15–19 Years","Tamaki","North Island general electorates","Female",1734
"20–24 Years","Tamaki","North Island general electorates","Female",1806
"25–29 Years","Tamaki","North Island general electorates","Female",1734
"30–34 Years","Tamaki","North Island general electorates","Female",1932
"35–39 Years","Tamaki","North Island general electorates","Female",2310
"40–44 Years","Tamaki","North Island general electorates","Female",2547
"45–49 Years","Tamaki","North Island general electorates","Female",2370
"50–54 Years","Tamaki","North Island general electorates","Female",2226
"55–59 Years","Tamaki","North Island general electorates","Female",2127
"60–64 Years","Tamaki","North Island general electorates","Female",1812
"65–69 Years","Tamaki","North Island general electorates","Female",1464
"70–74 Years","Tamaki","North Island general electorates","Female",1050
"75–79 Years","Tamaki","North Island general electorates","Female",816
"80–84 Years","Tamaki","North Island general electorates","Female",708
"85 Years And Over","Tamaki","North Island general electorates","Female",900
"18 Years And Over","Tamaki","North Island general electorates","Female",24447
"0–4 Years","Taranaki-King Country","North Island general electorates","Female",2349
"5–9 Years","Taranaki-King Country","North Island general electorates","Female",2505
"10–14 Years","Taranaki-King Country","North Island general electorates","Female",2481
"15–19 Years","Taranaki-King Country","North Island general electorates","Female",2094
"20–24 Years","Taranaki-King Country","North Island general electorates","Female",1677
"25–29 Years","Taranaki-King Country","North Island general electorates","Female",1755
"30–34 Years","Taranaki-King Country","North Island general electorates","Female",1884
"35–39 Years","Taranaki-King Country","North Island general electorates","Female",2196
"40–44 Years","Taranaki-King Country","North Island general electorates","Female",2550
"45–49 Years","Taranaki-King Country","North Island general electorates","Female",2565
"50–54 Years","Taranaki-King Country","North Island general electorates","Female",2592
"55–59 Years","Taranaki-King Country","North Island general electorates","Female",2367
"60–64 Years","Taranaki-King Country","North Island general electorates","Female",2004
"65–69 Years","Taranaki-King Country","North Island general electorates","Female",1530
"70–74 Years","Taranaki-King Country","North Island general electorates","Female",1224
"75–79 Years","Taranaki-King Country","North Island general electorates","Female",852
"80–84 Years","Taranaki-King Country","North Island general electorates","Female",648
"85 Years And Over","Taranaki-King Country","North Island general electorates","Female",570
"18 Years And Over","Taranaki-King Country","North Island general electorates","Female",25068
"0–4 Years","Taupo","North Island general electorates","Female",2661
"5–9 Years","Taupo","North Island general electorates","Female",2664
"10–14 Years","Taupo","North Island general electorates","Female",2718
"15–19 Years","Taupo","North Island general electorates","Female",2343
"20–24 Years","Taupo","North Island general electorates","Female",1977
"25–29 Years","Taupo","North Island general electorates","Female",1971
"30–34 Years","Taupo","North Island general electorates","Female",2070
"35–39 Years","Taupo","North Island general electorates","Female",2268
"40–44 Years","Taupo","North Island general electorates","Female",2808
"45–49 Years","Taupo","North Island general electorates","Female",2727
"50–54 Years","Taupo","North Island general electorates","Female",2793
"55–59 Years","Taupo","North Island general electorates","Female",2361
"60–64 Years","Taupo","North Island general electorates","Female",2244
"65–69 Years","Taupo","North Island general electorates","Female",2112
"70–74 Years","Taupo","North Island general electorates","Female",1668
"75–79 Years","Taupo","North Island general electorates","Female",1158
"80–84 Years","Taupo","North Island general electorates","Female",894
"85 Years And Over","Taupo","North Island general electorates","Female",747
"18 Years And Over","Taupo","North Island general electorates","Female",28473
"0–4 Years","Tauranga","North Island general electorates","Female",1944
"5–9 Years","Tauranga","North Island general electorates","Female",1926
"10–14 Years","Tauranga","North Island general electorates","Female",2067
"15–19 Years","Tauranga","North Island general electorates","Female",1917
"20–24 Years","Tauranga","North Island general electorates","Female",1800
"25–29 Years","Tauranga","North Island general electorates","Female",1779
"30–34 Years","Tauranga","North Island general electorates","Female",1797
"35–39 Years","Tauranga","North Island general electorates","Female",1977
"40–44 Years","Tauranga","North Island general electorates","Female",2373
"45–49 Years","Tauranga","North Island general electorates","Female",2313
"50–54 Years","Tauranga","North Island general electorates","Female",2403
"55–59 Years","Tauranga","North Island general electorates","Female",2184
"60–64 Years","Tauranga","North Island general electorates","Female",1947
"65–69 Years","Tauranga","North Island general electorates","Female",1866
"70–74 Years","Tauranga","North Island general electorates","Female",1626
"75–79 Years","Tauranga","North Island general electorates","Female",1365
"80–84 Years","Tauranga","North Island general electorates","Female",1140
"85 Years And Over","Tauranga","North Island general electorates","Female",1299
"18 Years And Over","Tauranga","North Island general electorates","Female",26511
"0–4 Years","Te Atatu","North Island general electorates","Female",2835
"5–9 Years","Te Atatu","North Island general electorates","Female",2418
"10–14 Years","Te Atatu","North Island general electorates","Female",2304
"15–19 Years","Te Atatu","North Island general electorates","Female",2466
"20–24 Years","Te Atatu","North Island general electorates","Female",2343
"25–29 Years","Te Atatu","North Island general electorates","Female",2412
"30–34 Years","Te Atatu","North Island general electorates","Female",2685
"35–39 Years","Te Atatu","North Island general electorates","Female",2598
"40–44 Years","Te Atatu","North Island general electorates","Female",2661
"45–49 Years","Te Atatu","North Island general electorates","Female",2436
"50–54 Years","Te Atatu","North Island general electorates","Female",2214
"55–59 Years","Te Atatu","North Island general electorates","Female",1872
"60–64 Years","Te Atatu","North Island general electorates","Female",1617
"65–69 Years","Te Atatu","North Island general electorates","Female",1323
"70–74 Years","Te Atatu","North Island general electorates","Female",1038
"75–79 Years","Te Atatu","North Island general electorates","Female",801
"80–84 Years","Te Atatu","North Island general electorates","Female",633
"85 Years And Over","Te Atatu","North Island general electorates","Female",555
"18 Years And Over","Te Atatu","North Island general electorates","Female",26184
"0–4 Years","Tukituki","North Island general electorates","Female",2769
"5–9 Years","Tukituki","North Island general electorates","Female",2679
"10–14 Years","Tukituki","North Island general electorates","Female",2886
"15–19 Years","Tukituki","North Island general electorates","Female",2394
"20–24 Years","Tukituki","North Island general electorates","Female",1980
"25–29 Years","Tukituki","North Island general electorates","Female",1869
"30–34 Years","Tukituki","North Island general electorates","Female",1857
"35–39 Years","Tukituki","North Island general electorates","Female",2319
"40–44 Years","Tukituki","North Island general electorates","Female",2811
"45–49 Years","Tukituki","North Island general electorates","Female",2688
"50–54 Years","Tukituki","North Island general electorates","Female",2808
"55–59 Years","Tukituki","North Island general electorates","Female",2451
"60–64 Years","Tukituki","North Island general electorates","Female",2256
"65–69 Years","Tukituki","North Island general electorates","Female",1920
"70–74 Years","Tukituki","North Island general electorates","Female",1479
"75–79 Years","Tukituki","North Island general electorates","Female",1074
"80–84 Years","Tukituki","North Island general electorates","Female",876
"85 Years And Over","Tukituki","North Island general electorates","Female",915
"18 Years And Over","Tukituki","North Island general electorates","Female",27987
"0–4 Years","Upper Harbour","North Island general electorates","Female",2619
"5–9 Years","Upper Harbour","North Island general electorates","Female",2277
"10–14 Years","Upper Harbour","North Island general electorates","Female",2193
"15–19 Years","Upper Harbour","North Island general electorates","Female",2319
"20–24 Years","Upper Harbour","North Island general electorates","Female",2454
"25–29 Years","Upper Harbour","North Island general electorates","Female",2511
"30–34 Years","Upper Harbour","North Island general electorates","Female",2616
"35–39 Years","Upper Harbour","North Island general electorates","Female",2478
"40–44 Years","Upper Harbour","North Island general electorates","Female",2682
"45–49 Years","Upper Harbour","North Island general electorates","Female",2613
"50–54 Years","Upper Harbour","North Island general electorates","Female",2304
"55–59 Years","Upper Harbour","North Island general electorates","Female",1896
"60–64 Years","Upper Harbour","North Island general electorates","Female",1542
"65–69 Years","Upper Harbour","North Island general electorates","Female",1221
"70–74 Years","Upper Harbour","North Island general electorates","Female",765
"75–79 Years","Upper Harbour","North Island general electorates","Female",561
"80–84 Years","Upper Harbour","North Island general electorates","Female",309
"85 Years And Over","Upper Harbour","North Island general electorates","Female",306
"18 Years And Over","Upper Harbour","North Island general electorates","Female",25164
"0–4 Years","Waikato","North Island general electorates","Female",2655
"5–9 Years","Waikato","North Island general electorates","Female",2973
"10–14 Years","Waikato","North Island general electorates","Female",2925
"15–19 Years","Waikato","North Island general electorates","Female",2433
"20–24 Years","Waikato","North Island general electorates","Female",2001
"25–29 Years","Waikato","North Island general electorates","Female",1830
"30–34 Years","Waikato","North Island general electorates","Female",2001
"35–39 Years","Waikato","North Island general electorates","Female",2268
"40–44 Years","Waikato","North Island general electorates","Female",2925
"45–49 Years","Waikato","North Island general electorates","Female",2835
"50–54 Years","Waikato","North Island general electorates","Female",2787
"55–59 Years","Waikato","North Island general electorates","Female",2346
"60–64 Years","Waikato","North Island general electorates","Female",1938
"65–69 Years","Waikato","North Island general electorates","Female",1674
"70–74 Years","Waikato","North Island general electorates","Female",1287
"75–79 Years","Waikato","North Island general electorates","Female",900
"80–84 Years","Waikato","North Island general electorates","Female",756
"85 Years And Over","Waikato","North Island general electorates","Female",702
"18 Years And Over","Waikato","North Island general electorates","Female",27042
"0–4 Years","Wairarapa","North Island general electorates","Female",2217
"5–9 Years","Wairarapa","North Island general electorates","Female",2325
"10–14 Years","Wairarapa","North Island general electorates","Female",2187
"15–19 Years","Wairarapa","North Island general electorates","Female",2004
"20–24 Years","Wairarapa","North Island general electorates","Female",1569
"25–29 Years","Wairarapa","North Island general electorates","Female",1467
"30–34 Years","Wairarapa","North Island general electorates","Female",1686
"35–39 Years","Wairarapa","North Island general electorates","Female",1893
"40–44 Years","Wairarapa","North Island general electorates","Female",2442
"45–49 Years","Wairarapa","North Island general electorates","Female",2406
"50–54 Years","Wairarapa","North Island general electorates","Female",2652
"55–59 Years","Wairarapa","North Island general electorates","Female",2496
"60–64 Years","Wairarapa","North Island general electorates","Female",2361
"65–69 Years","Wairarapa","North Island general electorates","Female",1986
"70–74 Years","Wairarapa","North Island general electorates","Female",1590
"75–79 Years","Wairarapa","North Island general electorates","Female",1152
"80–84 Years","Wairarapa","North Island general electorates","Female",945
"85 Years And Over","Wairarapa","North Island general electorates","Female",957
"18 Years And Over","Wairarapa","North Island general electorates","Female",26223
"0–4 Years","Wellington Central","North Island general electorates","Female",1158
"5–9 Years","Wellington Central","North Island general electorates","Female",1152
"10–14 Years","Wellington Central","North Island general electorates","Female",1170
"15–19 Years","Wellington Central","North Island general electorates","Female",3714
"20–24 Years","Wellington Central","North Island general electorates","Female",5673
"25–29 Years","Wellington Central","North Island general electorates","Female",3756
"30–34 Years","Wellington Central","North Island general electorates","Female",2748
"35–39 Years","Wellington Central","North Island general electorates","Female",2004
"40–44 Years","Wellington Central","North Island general electorates","Female",1974
"45–49 Years","Wellington Central","North Island general electorates","Female",1890
"50–54 Years","Wellington Central","North Island general electorates","Female",1776
"55–59 Years","Wellington Central","North Island general electorates","Female",1494
"60–64 Years","Wellington Central","North Island general electorates","Female",1248
"65–69 Years","Wellington Central","North Island general electorates","Female",903
"70–74 Years","Wellington Central","North Island general electorates","Female",597
"75–79 Years","Wellington Central","North Island general electorates","Female",411
"80–84 Years","Wellington Central","North Island general electorates","Female",363
"85 Years And Over","Wellington Central","North Island general electorates","Female",318
"18 Years And Over","Wellington Central","North Island general electorates","Female",27939
"0–4 Years","Whanganui","North Island general electorates","Female",2538
"5–9 Years","Whanganui","North Island general electorates","Female",2397
"10–14 Years","Whanganui","North Island general electorates","Female",2565
"15–19 Years","Whanganui","North Island general electorates","Female",2313
"20–24 Years","Whanganui","North Island general electorates","Female",1959
"25–29 Years","Whanganui","North Island general electorates","Female",1968
"30–34 Years","Whanganui","North Island general electorates","Female",1911
"35–39 Years","Whanganui","North Island general electorates","Female",2103
"40–44 Years","Whanganui","North Island general electorates","Female",2472
"45–49 Years","Whanganui","North Island general electorates","Female",2526
"50–54 Years","Whanganui","North Island general electorates","Female",2706
"55–59 Years","Whanganui","North Island general electorates","Female",2451
"60–64 Years","Whanganui","North Island general electorates","Female",2148
"65–69 Years","Whanganui","North Island general electorates","Female",1974
"70–74 Years","Whanganui","North Island general electorates","Female",1638
"75–79 Years","Whanganui","North Island general electorates","Female",1365
"80–84 Years","Whanganui","North Island general electorates","Female",1053
"85 Years And Over","Whanganui","North Island general electorates","Female",1113
"18 Years And Over","Whanganui","North Island general electorates","Female",28134
"0–4 Years","Whangarei","North Island general electorates","Female",2586
"5–9 Years","Whangarei","North Island general electorates","Female",2625
"10–14 Years","Whangarei","North Island general electorates","Female",2487
"15–19 Years","Whangarei","North Island general electorates","Female",2235
"20–24 Years","Whangarei","North Island general electorates","Female",1878
"25–29 Years","Whangarei","North Island general electorates","Female",1881
"30–34 Years","Whangarei","North Island general electorates","Female",1818
"35–39 Years","Whangarei","North Island general electorates","Female",2190
"40–44 Years","Whangarei","North Island general electorates","Female",2733
"45–49 Years","Whangarei","North Island general electorates","Female",2700
"50–54 Years","Whangarei","North Island general electorates","Female",2856
"55–59 Years","Whangarei","North Island general electorates","Female",2529
"60–64 Years","Whangarei","North Island general electorates","Female",2367
"65–69 Years","Whangarei","North Island general electorates","Female",2106
"70–74 Years","Whangarei","North Island general electorates","Female",1749
"75–79 Years","Whangarei","North Island general electorates","Female",1281
"80–84 Years","Whangarei","North Island general electorates","Female",1023
"85 Years And Over","Whangarei","North Island general electorates","Female",1083
"18 Years And Over","Whangarei","North Island general electorates","Female",28908
"0–4 Years","Christchurch Central","South Island general electorates","Female",1980
"5–9 Years","Christchurch Central","South Island general electorates","Female",1653
"10–14 Years","Christchurch Central","South Island general electorates","Female",1611
"15–19 Years","Christchurch Central","South Island general electorates","Female",1815
"20–24 Years","Christchurch Central","South Island general electorates","Female",2916
"25–29 Years","Christchurch Central","South Island general electorates","Female",2883
"30–34 Years","Christchurch Central","South Island general electorates","Female",2484
"35–39 Years","Christchurch Central","South Island general electorates","Female",2316
"40–44 Years","Christchurch Central","South Island general electorates","Female",2412
"45–49 Years","Christchurch Central","South Island general electorates","Female",2211
"50–54 Years","Christchurch Central","South Island general electorates","Female",2142
"55–59 Years","Christchurch Central","South Island general electorates","Female",1794
"60–64 Years","Christchurch Central","South Island general electorates","Female",1554
"65–69 Years","Christchurch Central","South Island general electorates","Female",1272
"70–74 Years","Christchurch Central","South Island general electorates","Female",1014
"75–79 Years","Christchurch Central","South Island general electorates","Female",903
"80–84 Years","Christchurch Central","South Island general electorates","Female",897
"85 Years And Over","Christchurch Central","South Island general electorates","Female",1158
"18 Years And Over","Christchurch Central","South Island general electorates","Female",26733
"0–4 Years","Christchurch East","South Island general electorates","Female",2304
"5–9 Years","Christchurch East","South Island general electorates","Female",2019
"10–14 Years","Christchurch East","South Island general electorates","Female",2052
"15–19 Years","Christchurch East","South Island general electorates","Female",1989
"20–24 Years","Christchurch East","South Island general electorates","Female",1980
"25–29 Years","Christchurch East","South Island general electorates","Female",1929
"30–34 Years","Christchurch East","South Island general electorates","Female",2127
"35–39 Years","Christchurch East","South Island general electorates","Female",2379
"40–44 Years","Christchurch East","South Island general electorates","Female",2538
"45–49 Years","Christchurch East","South Island general electorates","Female",2421
"50–54 Years","Christchurch East","South Island general electorates","Female",2469
"55–59 Years","Christchurch East","South Island general electorates","Female",2136
"60–64 Years","Christchurch East","South Island general electorates","Female",1836
"65–69 Years","Christchurch East","South Island general electorates","Female",1476
"70–74 Years","Christchurch East","South Island general electorates","Female",1089
"75–79 Years","Christchurch East","South Island general electorates","Female",801
"80–84 Years","Christchurch East","South Island general electorates","Female",714
"85 Years And Over","Christchurch East","South Island general electorates","Female",642
"18 Years And Over","Christchurch East","South Island general electorates","Female",25302
"0–4 Years","Clutha-Southland","South Island general electorates","Female",2241
"5–9 Years","Clutha-Southland","South Island general electorates","Female",2073
"10–14 Years","Clutha-Southland","South Island general electorates","Female",2067
"15–19 Years","Clutha-Southland","South Island general electorates","Female",1725
"20–24 Years","Clutha-Southland","South Island general electorates","Female",1755
"25–29 Years","Clutha-Southland","South Island general electorates","Female",2139
"30–34 Years","Clutha-Southland","South Island general electorates","Female",2355
"35–39 Years","Clutha-Southland","South Island general electorates","Female",2262
"40–44 Years","Clutha-Southland","South Island general electorates","Female",2517
"45–49 Years","Clutha-Southland","South Island general electorates","Female",2412
"50–54 Years","Clutha-Southland","South Island general electorates","Female",2373
"55–59 Years","Clutha-Southland","South Island general electorates","Female",1983
"60–64 Years","Clutha-Southland","South Island general electorates","Female",1695
"65–69 Years","Clutha-Southland","South Island general electorates","Female",1482
"70–74 Years","Clutha-Southland","South Island general electorates","Female",1161
"75–79 Years","Clutha-Southland","South Island general electorates","Female",792
"80–84 Years","Clutha-Southland","South Island general electorates","Female",633
"85 Years And Over","Clutha-Southland","South Island general electorates","Female",600
"18 Years And Over","Clutha-Southland","South Island general electorates","Female",24699
"0–4 Years","Dunedin North","South Island general electorates","Female",1302
"5–9 Years","Dunedin North","South Island general electorates","Female",1314
"10–14 Years","Dunedin North","South Island general electorates","Female",1437
"15–19 Years","Dunedin North","South Island general electorates","Female",5013
"20–24 Years","Dunedin North","South Island general electorates","Female",5283
"25–29 Years","Dunedin North","South Island general electorates","Female",1773
"30–34 Years","Dunedin North","South Island general electorates","Female",1587
"35–39 Years","Dunedin North","South Island general electorates","Female",1602
"40–44 Years","Dunedin North","South Island general electorates","Female",1836
"45–49 Years","Dunedin North","South Island general electorates","Female",1848
"50–54 Years","Dunedin North","South Island general electorates","Female",2019
"55–59 Years","Dunedin North","South Island general electorates","Female",1761
"60–64 Years","Dunedin North","South Island general electorates","Female",1461
"65–69 Years","Dunedin North","South Island general electorates","Female",1158
"70–74 Years","Dunedin North","South Island general electorates","Female",894
"75–79 Years","Dunedin North","South Island general electorates","Female",675
"80–84 Years","Dunedin North","South Island general electorates","Female",582
"85 Years And Over","Dunedin North","South Island general electorates","Female",630
"18 Years And Over","Dunedin North","South Island general electorates","Female",26931
"0–4 Years","Dunedin South","South Island general electorates","Female",1812
"5–9 Years","Dunedin South","South Island general electorates","Female",1848
"10–14 Years","Dunedin South","South Island general electorates","Female",1800
"15–19 Years","Dunedin South","South Island general electorates","Female",1791
"20–24 Years","Dunedin South","South Island general electorates","Female",1527
"25–29 Years","Dunedin South","South Island general electorates","Female",1596
"30–34 Years","Dunedin South","South Island general electorates","Female",1743
"35–39 Years","Dunedin South","South Island general electorates","Female",1998
"40–44 Years","Dunedin South","South Island general electorates","Female",2409
"45–49 Years","Dunedin South","South Island general electorates","Female",2349
"50–54 Years","Dunedin South","South Island general electorates","Female",2442
"55–59 Years","Dunedin South","South Island general electorates","Female",2118
"60–64 Years","Dunedin South","South Island general electorates","Female",1968
"65–69 Years","Dunedin South","South Island general electorates","Female",1617
"70–74 Years","Dunedin South","South Island general electorates","Female",1419
"75–79 Years","Dunedin South","South Island general electorates","Female",1149
"80–84 Years","Dunedin South","South Island general electorates","Female",1008
"85 Years And Over","Dunedin South","South Island general electorates","Female",1095
"18 Years And Over","Dunedin South","South Island general electorates","Female",25086
"0–4 Years","Ilam","South Island general electorates","Female",1449
"5–9 Years","Ilam","South Island general electorates","Female",1581
"10–14 Years","Ilam","South Island general electorates","Female",1968
"15–19 Years","Ilam","South Island general electorates","Female",2649
"20–24 Years","Ilam","South Island general electorates","Female",2727
"25–29 Years","Ilam","South Island general electorates","Female",1683
"30–34 Years","Ilam","South Island general electorates","Female",1566
"35–39 Years","Ilam","South Island general electorates","Female",1599
"40–44 Years","Ilam","South Island general electorates","Female",2184
"45–49 Years","Ilam","South Island general electorates","Female",2316
"50–54 Years","Ilam","South Island general electorates","Female",2307
"55–59 Years","Ilam","South Island general electorates","Female",1968
"60–64 Years","Ilam","South Island general electorates","Female",1671
"65–69 Years","Ilam","South Island general electorates","Female",1449
"70–74 Years","Ilam","South Island general electorates","Female",1245
"75–79 Years","Ilam","South Island general electorates","Female",1089
"80–84 Years","Ilam","South Island general electorates","Female",936
"85 Years And Over","Ilam","South Island general electorates","Female",1020
"18 Years And Over","Ilam","South Island general electorates","Female",24966
"0–4 Years","Invercargill","South Island general electorates","Female",2079
"5–9 Years","Invercargill","South Island general electorates","Female",2130
"10–14 Years","Invercargill","South Island general electorates","Female",2136
"15–19 Years","Invercargill","South Island general electorates","Female",2007
"20–24 Years","Invercargill","South Island general electorates","Female",1965
"25–29 Years","Invercargill","South Island general electorates","Female",1989
"30–34 Years","Invercargill","South Island general electorates","Female",1998
"35–39 Years","Invercargill","South Island general electorates","Female",2073
"40–44 Years","Invercargill","South Island general electorates","Female",2271
"45–49 Years","Invercargill","South Island general electorates","Female",2295
"50–54 Years","Invercargill","South Island general electorates","Female",2493
"55–59 Years","Invercargill","South Island general electorates","Female",2100
"60–64 Years","Invercargill","South Island general electorates","Female",1758
"65–69 Years","Invercargill","South Island general electorates","Female",1509
"70–74 Years","Invercargill","South Island general electorates","Female",1206
"75–79 Years","Invercargill","South Island general electorates","Female",1023
"80–84 Years","Invercargill","South Island general electorates","Female",789
"85 Years And Over","Invercargill","South Island general electorates","Female",852
"18 Years And Over","Invercargill","South Island general electorates","Female",25014
"0–4 Years","Kaikoura","South Island general electorates","Female",1947
"5–9 Years","Kaikoura","South Island general electorates","Female",1872
"10–14 Years","Kaikoura","South Island general electorates","Female",1896
"15–19 Years","Kaikoura","South Island general electorates","Female",1740
"20–24 Years","Kaikoura","South Island general electorates","Female",1314
"25–29 Years","Kaikoura","South Island general electorates","Female",1494
"30–34 Years","Kaikoura","South Island general electorates","Female",1680
"35–39 Years","Kaikoura","South Island general electorates","Female",1896
"40–44 Years","Kaikoura","South Island general electorates","Female",2295
"45–49 Years","Kaikoura","South Island general electorates","Female",2454
"50–54 Years","Kaikoura","South Island general electorates","Female",2577
"55–59 Years","Kaikoura","South Island general electorates","Female",2343
"60–64 Years","Kaikoura","South Island general electorates","Female",2328
"65–69 Years","Kaikoura","South Island general electorates","Female",2082
"70–74 Years","Kaikoura","South Island general electorates","Female",1521
"75–79 Years","Kaikoura","South Island general electorates","Female",1023
"80–84 Years","Kaikoura","South Island general electorates","Female",768
"85 Years And Over","Kaikoura","South Island general electorates","Female",807
"18 Years And Over","Kaikoura","South Island general electorates","Female",25068
"0–4 Years","Nelson","South Island general electorates","Female",1839
"5–9 Years","Nelson","South Island general electorates","Female",2061
"10–14 Years","Nelson","South Island general electorates","Female",2055
"15–19 Years","Nelson","South Island general electorates","Female",1893
"20–24 Years","Nelson","South Island general electorates","Female",1473
"25–29 Years","Nelson","South Island general electorates","Female",1605
"30–34 Years","Nelson","South Island general electorates","Female",1665
"35–39 Years","Nelson","South Island general electorates","Female",2013
"40–44 Years","Nelson","South Island general electorates","Female",2490
"45–49 Years","Nelson","South Island general electorates","Female",2544
"50–54 Years","Nelson","South Island general electorates","Female",2577
"55–59 Years","Nelson","South Island general electorates","Female",2289
"60–64 Years","Nelson","South Island general electorates","Female",2127
"65–69 Years","Nelson","South Island general electorates","Female",1764
"70–74 Years","Nelson","South Island general electorates","Female",1398
"75–79 Years","Nelson","South Island general electorates","Female",1110
"80–84 Years","Nelson","South Island general electorates","Female",903
"85 Years And Over","Nelson","South Island general electorates","Female",1026
"18 Years And Over","Nelson","South Island general electorates","Female",25584
"0–4 Years","Port Hills","South Island general electorates","Female",1980
"5–9 Years","Port Hills","South Island general electorates","Female",2103
"10–14 Years","Port Hills","South Island general electorates","Female",1989
"15–19 Years","Port Hills","South Island general electorates","Female",1815
"20–24 Years","Port Hills","South Island general electorates","Female",1539
"25–29 Years","Port Hills","South Island general electorates","Female",1584
"30–34 Years","Port Hills","South Island general electorates","Female",1869
"35–39 Years","Port Hills","South Island general electorates","Female",2205
"40–44 Years","Port Hills","South Island general electorates","Female",2709
"45–49 Years","Port Hills","South Island general electorates","Female",2622
"50–54 Years","Port Hills","South Island general electorates","Female",2649
"55–59 Years","Port Hills","South Island general electorates","Female",2307
"60–64 Years","Port Hills","South Island general electorates","Female",2133
"65–69 Years","Port Hills","South Island general electorates","Female",1743
"70–74 Years","Port Hills","South Island general electorates","Female",1338
"75–79 Years","Port Hills","South Island general electorates","Female",999
"80–84 Years","Port Hills","South Island general electorates","Female",861
"85 Years And Over","Port Hills","South Island general electorates","Female",912
"18 Years And Over","Port Hills","South Island general electorates","Female",26094
"0–4 Years","Rangitata","South Island general electorates","Female",1968
"5–9 Years","Rangitata","South Island general electorates","Female",1866
"10–14 Years","Rangitata","South Island general electorates","Female",1986
"15–19 Years","Rangitata","South Island general electorates","Female",1818
"20–24 Years","Rangitata","South Island general electorates","Female",1647
"25–29 Years","Rangitata","South Island general electorates","Female",1692
"30–34 Years","Rangitata","South Island general electorates","Female",1749
"35–39 Years","Rangitata","South Island general electorates","Female",1956
"40–44 Years","Rangitata","South Island general electorates","Female",2187
"45–49 Years","Rangitata","South Island general electorates","Female",2316
"50–54 Years","Rangitata","South Island general electorates","Female",2355
"55–59 Years","Rangitata","South Island general electorates","Female",2088
"60–64 Years","Rangitata","South Island general electorates","Female",2058
"65–69 Years","Rangitata","South Island general electorates","Female",1779
"70–74 Years","Rangitata","South Island general electorates","Female",1530
"75–79 Years","Rangitata","South Island general electorates","Female",1302
"80–84 Years","Rangitata","South Island general electorates","Female",1053
"85 Years And Over","Rangitata","South Island general electorates","Female",1110
"18 Years And Over","Rangitata","South Island general electorates","Female",25329
"0–4 Years","Selwyn","South Island general electorates","Female",1845
"5–9 Years","Selwyn","South Island general electorates","Female",2244
"10–14 Years","Selwyn","South Island general electorates","Female",2100
"15–19 Years","Selwyn","South Island general electorates","Female",1932
"20–24 Years","Selwyn","South Island general electorates","Female",1392
"25–29 Years","Selwyn","South Island general electorates","Female",1305
