"level0","level1","level2","Age group and sex","count"
"20–24 Years","Manukau East","North Island general electorates","Male",2811
"25–29 Years","Manukau East","North Island general electorates","Male",2334
"30–34 Years","Manukau East","North Island general electorates","Male",2157
"35–39 Years","Manukau East","North Island general electorates","Male",1959
"40–44 Years","Manukau East","North Island general electorates","Male",2040
"45–49 Years","Manukau East","North Island general electorates","Male",2004
"50–54 Years","Manukau East","North Island general electorates","Male",1851
"55–59 Years","Manukau East","North Island general electorates","Male",1482
"60–64 Years","Manukau East","North Island general electorates","Male",1302
"65–69 Years","Manukau East","North Island general electorates","Male",945
"70–74 Years","Manukau East","North Island general electorates","Male",669
"75–79 Years","Manukau East","North Island general electorates","Male",456
"80–84 Years","Manukau East","North Island general electorates","Male",279
"85 Years And Over","Manukau East","North Island general electorates","Male",195
"18 Years And Over","Manukau East","North Island general electorates","Male",21612
"0–4 Years","Manurewa","North Island general electorates","Male",3594
"5–9 Years","Manurewa","North Island general electorates","Male",3297
"10–14 Years","Manurewa","North Island general electorates","Male",2988
"15–19 Years","Manurewa","North Island general electorates","Male",2979
"20–24 Years","Manurewa","North Island general electorates","Male",3072
"25–29 Years","Manurewa","North Island general electorates","Male",2556
"30–34 Years","Manurewa","North Island general electorates","Male",2340
"35–39 Years","Manurewa","North Island general electorates","Male",2118
"40–44 Years","Manurewa","North Island general electorates","Male",2292
"45–49 Years","Manurewa","North Island general electorates","Male",2145
"50–54 Years","Manurewa","North Island general electorates","Male",2073
"55–59 Years","Manurewa","North Island general electorates","Male",1665
"60–64 Years","Manurewa","North Island general electorates","Male",1374
"65–69 Years","Manurewa","North Island general electorates","Male",1026
"70–74 Years","Manurewa","North Island general electorates","Male",699
"75–79 Years","Manurewa","North Island general electorates","Male",420
"80–84 Years","Manurewa","North Island general electorates","Male",273
"85 Years And Over","Manurewa","North Island general electorates","Male",183
"18 Years And Over","Manurewa","North Island general electorates","Male",23427
"0–4 Years","Maungakiekie","North Island general electorates","Male",2997
"5–9 Years","Maungakiekie","North Island general electorates","Male",2238
"10–14 Years","Maungakiekie","North Island general electorates","Male",1932
"15–19 Years","Maungakiekie","North Island general electorates","Male",1923
"20–24 Years","Maungakiekie","North Island general electorates","Male",2457
"25–29 Years","Maungakiekie","North Island general electorates","Male",2799
"30–34 Years","Maungakiekie","North Island general electorates","Male",3060
"35–39 Years","Maungakiekie","North Island general electorates","Male",2664
"40–44 Years","Maungakiekie","North Island general electorates","Male",2379
"45–49 Years","Maungakiekie","North Island general electorates","Male",1992
"50–54 Years","Maungakiekie","North Island general electorates","Male",1911
"55–59 Years","Maungakiekie","North Island general electorates","Male",1665
"60–64 Years","Maungakiekie","North Island general electorates","Male",1449
"65–69 Years","Maungakiekie","North Island general electorates","Male",1065
"70–74 Years","Maungakiekie","North Island general electorates","Male",777
"75–79 Years","Maungakiekie","North Island general electorates","Male",573
"80–84 Years","Maungakiekie","North Island general electorates","Male",366
"85 Years And Over","Maungakiekie","North Island general electorates","Male",315
"18 Years And Over","Maungakiekie","North Island general electorates","Male",24291
"0–4 Years","Mt Albert","North Island general electorates","Male",2334
"5–9 Years","Mt Albert","North Island general electorates","Male",2067
"10–14 Years","Mt Albert","North Island general electorates","Male",1746
"15–19 Years","Mt Albert","North Island general electorates","Male",1839
"20–24 Years","Mt Albert","North Island general electorates","Male",2757
"25–29 Years","Mt Albert","North Island general electorates","Male",2928
"30–34 Years","Mt Albert","North Island general electorates","Male",2877
"35–39 Years","Mt Albert","North Island general electorates","Male",2757
"40–44 Years","Mt Albert","North Island general electorates","Male",2607
"45–49 Years","Mt Albert","North Island general electorates","Male",2283
"50–54 Years","Mt Albert","North Island general electorates","Male",1932
"55–59 Years","Mt Albert","North Island general electorates","Male",1470
"60–64 Years","Mt Albert","North Island general electorates","Male",1155
"65–69 Years","Mt Albert","North Island general electorates","Male",777
"70–74 Years","Mt Albert","North Island general electorates","Male",564
"75–79 Years","Mt Albert","North Island general electorates","Male",387
"80–84 Years","Mt Albert","North Island general electorates","Male",306
"85 Years And Over","Mt Albert","North Island general electorates","Male",270
"18 Years And Over","Mt Albert","North Island general electorates","Male",23847
"0–4 Years","Mt Roskill","North Island general electorates","Male",2178
"5–9 Years","Mt Roskill","North Island general electorates","Male",2031
"10–14 Years","Mt Roskill","North Island general electorates","Male",1875
"15–19 Years","Mt Roskill","North Island general electorates","Male",2166
"20–24 Years","Mt Roskill","North Island general electorates","Male",2667
"25–29 Years","Mt Roskill","North Island general electorates","Male",2358
"30–34 Years","Mt Roskill","North Island general electorates","Male",2190
"35–39 Years","Mt Roskill","North Island general electorates","Male",1929
"40–44 Years","Mt Roskill","North Island general electorates","Male",2031
"45–49 Years","Mt Roskill","North Island general electorates","Male",2022
"50–54 Years","Mt Roskill","North Island general electorates","Male",1959
"55–59 Years","Mt Roskill","North Island general electorates","Male",1725
"60–64 Years","Mt Roskill","North Island general electorates","Male",1461
"65–69 Years","Mt Roskill","North Island general electorates","Male",948
"70–74 Years","Mt Roskill","North Island general electorates","Male",798
"75–79 Years","Mt Roskill","North Island general electorates","Male",549
"80–84 Years","Mt Roskill","North Island general electorates","Male",381
"85 Years And Over","Mt Roskill","North Island general electorates","Male",345
"18 Years And Over","Mt Roskill","North Island general electorates","Male",22299
"0–4 Years","Napier","North Island general electorates","Male",2466
