"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"United Kingdom and Ireland(5)","Dunedin North","South Island general electorates","10–19 Years",735
"Europe (excluding United Kingdom and Ireland)","Dunedin North","South Island general electorates","10–19 Years",222
"North America","Dunedin North","South Island general electorates","10–19 Years",198
"Asia","Dunedin North","South Island general electorates","10–19 Years",1173
"Middle East and Africa","Dunedin North","South Island general electorates","10–19 Years",402
"Other","Dunedin North","South Island general electorates","10–19 Years",15
"Not elsewhere included(7)","Dunedin North","South Island general electorates","10–19 Years",NA
"Australia(3)","Dunedin South","South Island general electorates","10–19 Years",174
"Pacific Islands(4)","Dunedin South","South Island general electorates","10–19 Years",93
"United Kingdom and Ireland(5)","Dunedin South","South Island general electorates","10–19 Years",438
"Europe (excluding United Kingdom and Ireland)","Dunedin South","South Island general electorates","10–19 Years",102
"North America","Dunedin South","South Island general electorates","10–19 Years",93
"Asia","Dunedin South","South Island general electorates","10–19 Years",351
"Middle East and Africa","Dunedin South","South Island general electorates","10–19 Years",147
"Other","Dunedin South","South Island general electorates","10–19 Years",12
"Not elsewhere included(7)","Dunedin South","South Island general electorates","10–19 Years",NA
"Australia(3)","Ilam","South Island general electorates","10–19 Years",273
"Pacific Islands(4)","Ilam","South Island general electorates","10–19 Years",87
"United Kingdom and Ireland(5)","Ilam","South Island general electorates","10–19 Years",624
"Europe (excluding United Kingdom and Ireland)","Ilam","South Island general electorates","10–19 Years",216
"North America","Ilam","South Island general electorates","10–19 Years",129
"Asia","Ilam","South Island general electorates","10–19 Years",2244
"Middle East and Africa","Ilam","South Island general electorates","10–19 Years",492
"Other","Ilam","South Island general electorates","10–19 Years",24
"Not elsewhere included(7)","Ilam","South Island general electorates","10–19 Years",NA
"Australia(3)","Invercargill","South Island general electorates","10–19 Years",135
"Pacific Islands(4)","Invercargill","South Island general electorates","10–19 Years",84
"United Kingdom and Ireland(5)","Invercargill","South Island general electorates","10–19 Years",243
"Europe (excluding United Kingdom and Ireland)","Invercargill","South Island general electorates","10–19 Years",84
"North America","Invercargill","South Island general electorates","10–19 Years",42
"Asia","Invercargill","South Island general electorates","10–19 Years",144
"Middle East and Africa","Invercargill","South Island general electorates","10–19 Years",108
"Other","Invercargill","South Island general electorates","10–19 Years",6
"Not elsewhere included(7)","Invercargill","South Island general electorates","10–19 Years",NA
"Australia(3)","Kaikoura","South Island general electorates","10–19 Years",165
"Pacific Islands(4)","Kaikoura","South Island general electorates","10–19 Years",66
"United Kingdom and Ireland(5)","Kaikoura","South Island general electorates","10–19 Years",627
"Europe (excluding United Kingdom and Ireland)","Kaikoura","South Island general electorates","10–19 Years",216
"North America","Kaikoura","South Island general electorates","10–19 Years",75
"Asia","Kaikoura","South Island general electorates","10–19 Years",180
"Middle East and Africa","Kaikoura","South Island general electorates","10–19 Years",159
"Other","Kaikoura","South Island general electorates","10–19 Years",12
"Not elsewhere included(7)","Kaikoura","South Island general electorates","10–19 Years",NA
"Australia(3)","Nelson","South Island general electorates","10–19 Years",201
"Pacific Islands(4)","Nelson","South Island general electorates","10–19 Years",60
"United Kingdom and Ireland(5)","Nelson","South Island general electorates","10–19 Years",804
"Europe (excluding United Kingdom and Ireland)","Nelson","South Island general electorates","10–19 Years",282
"North America","Nelson","South Island general electorates","10–19 Years",153
"Asia","Nelson","South Island general electorates","10–19 Years",333
"Middle East and Africa","Nelson","South Island general electorates","10–19 Years",222
"Other","Nelson","South Island general electorates","10–19 Years",12
"Not elsewhere included(7)","Nelson","South Island general electorates","10–19 Years",NA
"Australia(3)","Port Hills","South Island general electorates","10–19 Years",222
"Pacific Islands(4)","Port Hills","South Island general electorates","10–19 Years",132
"United Kingdom and Ireland(5)","Port Hills","South Island general electorates","10–19 Years",891
"Europe (excluding United Kingdom and Ireland)","Port Hills","South Island general electorates","10–19 Years",264
"North America","Port Hills","South Island general electorates","10–19 Years",141
"Asia","Port Hills","South Island general electorates","10–19 Years",657
"Middle East and Africa","Port Hills","South Island general electorates","10–19 Years",264
"Other","Port Hills","South Island general electorates","10–19 Years",24
"Not elsewhere included(7)","Port Hills","South Island general electorates","10–19 Years",NA
"Australia(3)","Rangitata","South Island general electorates","10–19 Years",174
"Pacific Islands(4)","Rangitata","South Island general electorates","10–19 Years",60
"United Kingdom and Ireland(5)","Rangitata","South Island general electorates","10–19 Years",354
"Europe (excluding United Kingdom and Ireland)","Rangitata","South Island general electorates","10–19 Years",111
"North America","Rangitata","South Island general electorates","10–19 Years",54
"Asia","Rangitata","South Island general electorates","10–19 Years",207
"Middle East and Africa","Rangitata","South Island general electorates","10–19 Years",207
"Other","Rangitata","South Island general electorates","10–19 Years",12
"Not elsewhere included(7)","Rangitata","South Island general electorates","10–19 Years",NA
"Australia(3)","Selwyn","South Island general electorates","10–19 Years",186
"Pacific Islands(4)","Selwyn","South Island general electorates","10–19 Years",36
"United Kingdom and Ireland(5)","Selwyn","South Island general electorates","10–19 Years",843
"Europe (excluding United Kingdom and Ireland)","Selwyn","South Island general electorates","10–19 Years",168
"North America","Selwyn","South Island general electorates","10–19 Years",108
"Asia","Selwyn","South Island general electorates","10–19 Years",363
"Middle East and Africa","Selwyn","South Island general electorates","10–19 Years",231
"Other","Selwyn","South Island general electorates","10–19 Years",18
"Not elsewhere included(7)","Selwyn","South Island general electorates","10–19 Years",NA
"Australia(3)","Waimakariri","South Island general electorates","10–19 Years",192
"Pacific Islands(4)","Waimakariri","South Island general electorates","10–19 Years",27
"United Kingdom and Ireland(5)","Waimakariri","South Island general electorates","10–19 Years",741
"Europe (excluding United Kingdom and Ireland)","Waimakariri","South Island general electorates","10–19 Years",174
"North America","Waimakariri","South Island general electorates","10–19 Years",81
"Asia","Waimakariri","South Island general electorates","10–19 Years",450
"Middle East and Africa","Waimakariri","South Island general electorates","10–19 Years",207
"Other","Waimakariri","South Island general electorates","10–19 Years",9
"Not elsewhere included(7)","Waimakariri","South Island general electorates","10–19 Years",NA
"Australia(3)","Waitaki","South Island general electorates","10–19 Years",216
"Pacific Islands(4)","Waitaki","South Island general electorates","10–19 Years",66
"United Kingdom and Ireland(5)","Waitaki","South Island general electorates","10–19 Years",606
"Europe (excluding United Kingdom and Ireland)","Waitaki","South Island general electorates","10–19 Years",141
"North America","Waitaki","South Island general electorates","10–19 Years",87
"Asia","Waitaki","South Island general electorates","10–19 Years",183
"Middle East and Africa","Waitaki","South Island general electorates","10–19 Years",117
"Other","Waitaki","South Island general electorates","10–19 Years",12
"Not elsewhere included(7)","Waitaki","South Island general electorates","10–19 Years",NA
"Australia(3)","West Coast-Tasman","South Island general electorates","10–19 Years",198
"Pacific Islands(4)","West Coast-Tasman","South Island general electorates","10–19 Years",30
"United Kingdom and Ireland(5)","West Coast-Tasman","South Island general electorates","10–19 Years",654
"Europe (excluding United Kingdom and Ireland)","West Coast-Tasman","South Island general electorates","10–19 Years",273
"North America","West Coast-Tasman","South Island general electorates","10–19 Years",120
"Asia","West Coast-Tasman","South Island general electorates","10–19 Years",165
"Middle East and Africa","West Coast-Tasman","South Island general electorates","10–19 Years",123
"Other","West Coast-Tasman","South Island general electorates","10–19 Years",15
"Not elsewhere included(7)","West Coast-Tasman","South Island general electorates","10–19 Years",NA
"Australia(3)","Wigram","South Island general electorates","10–19 Years",183
"Pacific Islands(4)","Wigram","South Island general electorates","10–19 Years",297
"United Kingdom and Ireland(5)","Wigram","South Island general electorates","10–19 Years",363
"Europe (excluding United Kingdom and Ireland)","Wigram","South Island general electorates","10–19 Years",195
"North America","Wigram","South Island general electorates","10–19 Years",66
"Asia","Wigram","South Island general electorates","10–19 Years",2079
"Middle East and Africa","Wigram","South Island general electorates","10–19 Years",345
"Other","Wigram","South Island general electorates","10–19 Years",15
"Not elsewhere included(7)","Wigram","South Island general electorates","10–19 Years",NA
"Australia(3)","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"Pacific Islands(4)","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"United Kingdom and Ireland(5)","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"Europe (excluding United Kingdom and Ireland)","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"North America","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"Asia","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"Middle East and Africa","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"Other","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"Not elsewhere included(7)","Area Outside General Electorate","South Island general electorates","10–19 Years",NA
"Australia(3)","Auckland Central","North Island general electorates","20 Years or More",438
"Pacific Islands(4)","Auckland Central","North Island general electorates","20 Years or More",441
"United Kingdom and Ireland(5)","Auckland Central","North Island general electorates","20 Years or More",1692
"Europe (excluding United Kingdom and Ireland)","Auckland Central","North Island general electorates","20 Years or More",354
"North America","Auckland Central","North Island general electorates","20 Years or More",273
"Asia","Auckland Central","North Island general electorates","20 Years or More",633
"Middle East and Africa","Auckland Central","North Island general electorates","20 Years or More",186
"Other","Auckland Central","North Island general electorates","20 Years or More",27
"Not elsewhere included(7)","Auckland Central","North Island general electorates","20 Years or More",NA
"Australia(3)","Bay of Plenty","North Island general electorates","20 Years or More",483
"Pacific Islands(4)","Bay of Plenty","North Island general electorates","20 Years or More",192
"United Kingdom and Ireland(5)","Bay of Plenty","North Island general electorates","20 Years or More",2613
"Europe (excluding United Kingdom and Ireland)","Bay of Plenty","North Island general electorates","20 Years or More",501
"North America","Bay of Plenty","North Island general electorates","20 Years or More",171
"Asia","Bay of Plenty","North Island general electorates","20 Years or More",240
"Middle East and Africa","Bay of Plenty","North Island general electorates","20 Years or More",129
"Other","Bay of Plenty","North Island general electorates","20 Years or More",24
"Not elsewhere included(7)","Bay of Plenty","North Island general electorates","20 Years or More",NA
"Australia(3)","Botany","North Island general electorates","20 Years or More",264
"Pacific Islands(4)","Botany","North Island general electorates","20 Years or More",1881
"United Kingdom and Ireland(5)","Botany","North Island general electorates","20 Years or More",1962
"Europe (excluding United Kingdom and Ireland)","Botany","North Island general electorates","20 Years or More",306
"North America","Botany","North Island general electorates","20 Years or More",81
"Asia","Botany","North Island general electorates","20 Years or More",2433
"Middle East and Africa","Botany","North Island general electorates","20 Years or More",207
"Other","Botany","North Island general electorates","20 Years or More",30
"Not elsewhere included(7)","Botany","North Island general electorates","20 Years or More",NA
"Australia(3)","Coromandel","North Island general electorates","20 Years or More",513
"Pacific Islands(4)","Coromandel","North Island general electorates","20 Years or More",210
"United Kingdom and Ireland(5)","Coromandel","North Island general electorates","20 Years or More",2823
"Europe (excluding United Kingdom and Ireland)","Coromandel","North Island general electorates","20 Years or More",672
"North America","Coromandel","North Island general electorates","20 Years or More",144
"Asia","Coromandel","North Island general electorates","20 Years or More",234
"Middle East and Africa","Coromandel","North Island general electorates","20 Years or More",156
"Other","Coromandel","North Island general electorates","20 Years or More",21
"Not elsewhere included(7)","Coromandel","North Island general electorates","20 Years or More",NA
"Australia(3)","East Coast","North Island general electorates","20 Years or More",495
"Pacific Islands(4)","East Coast","North Island general electorates","20 Years or More",291
"United Kingdom and Ireland(5)","East Coast","North Island general electorates","20 Years or More",2085
"Europe (excluding United Kingdom and Ireland)","East Coast","North Island general electorates","20 Years or More",504
"North America","East Coast","North Island general electorates","20 Years or More",141
"Asia","East Coast","North Island general electorates","20 Years or More",252
"Middle East and Africa","East Coast","North Island general electorates","20 Years or More",99
"Other","East Coast","North Island general electorates","20 Years or More",12
"Not elsewhere included(7)","East Coast","North Island general electorates","20 Years or More",NA
"Australia(3)","East Coast Bays","North Island general electorates","20 Years or More",339
"Pacific Islands(4)","East Coast Bays","North Island general electorates","20 Years or More",207
"United Kingdom and Ireland(5)","East Coast Bays","North Island general electorates","20 Years or More",3171
"Europe (excluding United Kingdom and Ireland)","East Coast Bays","North Island general electorates","20 Years or More",411
"North America","East Coast Bays","North Island general electorates","20 Years or More",153
"Asia","East Coast Bays","North Island general electorates","20 Years or More",843
"Middle East and Africa","East Coast Bays","North Island general electorates","20 Years or More",198
"Other","East Coast Bays","North Island general electorates","20 Years or More",36
"Not elsewhere included(7)","East Coast Bays","North Island general electorates","20 Years or More",NA
"Australia(3)","Epsom","North Island general electorates","20 Years or More",441
"Pacific Islands(4)","Epsom","North Island general electorates","20 Years or More",459
"United Kingdom and Ireland(5)","Epsom","North Island general electorates","20 Years or More",1815
"Europe (excluding United Kingdom and Ireland)","Epsom","North Island general electorates","20 Years or More",369
"North America","Epsom","North Island general electorates","20 Years or More",213
"Asia","Epsom","North Island general electorates","20 Years or More",1872
"Middle East and Africa","Epsom","North Island general electorates","20 Years or More",279
"Other","Epsom","North Island general electorates","20 Years or More",42
"Not elsewhere included(7)","Epsom","North Island general electorates","20 Years or More",NA
"Australia(3)","Hamilton East","North Island general electorates","20 Years or More",435
"Pacific Islands(4)","Hamilton East","North Island general electorates","20 Years or More",408
"United Kingdom and Ireland(5)","Hamilton East","North Island general electorates","20 Years or More",1800
"Europe (excluding United Kingdom and Ireland)","Hamilton East","North Island general electorates","20 Years or More",459
"North America","Hamilton East","North Island general electorates","20 Years or More",135
"Asia","Hamilton East","North Island general electorates","20 Years or More",639
"Middle East and Africa","Hamilton East","North Island general electorates","20 Years or More",123
"Other","Hamilton East","North Island general electorates","20 Years or More",42
"Not elsewhere included(7)","Hamilton East","North Island general electorates","20 Years or More",NA
"Australia(3)","Hamilton West","North Island general electorates","20 Years or More",462
"Pacific Islands(4)","Hamilton West","North Island general electorates","20 Years or More",468
"United Kingdom and Ireland(5)","Hamilton West","North Island general electorates","20 Years or More",1680
"Europe (excluding United Kingdom and Ireland)","Hamilton West","North Island general electorates","20 Years or More",414
"North America","Hamilton West","North Island general electorates","20 Years or More",111
"Asia","Hamilton West","North Island general electorates","20 Years or More",636
"Middle East and Africa","Hamilton West","North Island general electorates","20 Years or More",123
"Other","Hamilton West","North Island general electorates","20 Years or More",33
"Not elsewhere included(7)","Hamilton West","North Island general electorates","20 Years or More",NA
"Australia(3)","Helensville","North Island general electorates","20 Years or More",531
"Pacific Islands(4)","Helensville","North Island general electorates","20 Years or More",306
"United Kingdom and Ireland(5)","Helensville","North Island general electorates","20 Years or More",3312
"Europe (excluding United Kingdom and Ireland)","Helensville","North Island general electorates","20 Years or More",660
"North America","Helensville","North Island general electorates","20 Years or More",219
"Asia","Helensville","North Island general electorates","20 Years or More",405
"Middle East and Africa","Helensville","North Island general electorates","20 Years or More",204
"Other","Helensville","North Island general electorates","20 Years or More",39
"Not elsewhere included(7)","Helensville","North Island general electorates","20 Years or More",NA
"Australia(3)","Hunua","North Island general electorates","20 Years or More",411
"Pacific Islands(4)","Hunua","North Island general electorates","20 Years or More",447
"United Kingdom and Ireland(5)","Hunua","North Island general electorates","20 Years or More",2622
"Europe (excluding United Kingdom and Ireland)","Hunua","North Island general electorates","20 Years or More",444
"North America","Hunua","North Island general electorates","20 Years or More",111
"Asia","Hunua","North Island general electorates","20 Years or More",798
"Middle East and Africa","Hunua","North Island general electorates","20 Years or More",138
"Other","Hunua","North Island general electorates","20 Years or More",30
"Not elsewhere included(7)","Hunua","North Island general electorates","20 Years or More",NA
"Australia(3)","Hutt South","North Island general electorates","20 Years or More",414
"Pacific Islands(4)","Hutt South","North Island general electorates","20 Years or More",1050
"United Kingdom and Ireland(5)","Hutt South","North Island general electorates","20 Years or More",2793
"Europe (excluding United Kingdom and Ireland)","Hutt South","North Island general electorates","20 Years or More",573
"North America","Hutt South","North Island general electorates","20 Years or More",165
"Asia","Hutt South","North Island general electorates","20 Years or More",1149
"Middle East and Africa","Hutt South","North Island general electorates","20 Years or More",165
"Other","Hutt South","North Island general electorates","20 Years or More",24
"Not elsewhere included(7)","Hutt South","North Island general electorates","20 Years or More",NA
"Australia(3)","Kelston","North Island general electorates","20 Years or More",351
"Pacific Islands(4)","Kelston","North Island general electorates","20 Years or More",2874
"United Kingdom and Ireland(5)","Kelston","North Island general electorates","20 Years or More",1770
"Europe (excluding United Kingdom and Ireland)","Kelston","North Island general electorates","20 Years or More",405
"North America","Kelston","North Island general electorates","20 Years or More",114
"Asia","Kelston","North Island general electorates","20 Years or More",927
"Middle East and Africa","Kelston","North Island general electorates","20 Years or More",126
"Other","Kelston","North Island general electorates","20 Years or More",36
"Not elsewhere included(7)","Kelston","North Island general electorates","20 Years or More",NA
"Australia(3)","Mana","North Island general electorates","20 Years or More",363
"Pacific Islands(4)","Mana","North Island general electorates","20 Years or More",2490
"United Kingdom and Ireland(5)","Mana","North Island general electorates","20 Years or More",2670
"Europe (excluding United Kingdom and Ireland)","Mana","North Island general electorates","20 Years or More",438
"North America","Mana","North Island general electorates","20 Years or More",141
"Asia","Mana","North Island general electorates","20 Years or More",597
"Middle East and Africa","Mana","North Island general electorates","20 Years or More",135
"Other","Mana","North Island general electorates","20 Years or More",27
"Not elsewhere included(7)","Mana","North Island general electorates","20 Years or More",NA
"Australia(3)","Mangere","North Island general electorates","20 Years or More",168
"Pacific Islands(4)","Mangere","North Island general electorates","20 Years or More",6963
"United Kingdom and Ireland(5)","Mangere","North Island general electorates","20 Years or More",531
"Europe (excluding United Kingdom and Ireland)","Mangere","North Island general electorates","20 Years or More",102
"North America","Mangere","North Island general electorates","20 Years or More",45
"Asia","Mangere","North Island general electorates","20 Years or More",549
"Middle East and Africa","Mangere","North Island general electorates","20 Years or More",27
"Other","Mangere","North Island general electorates","20 Years or More",27
"Not elsewhere included(7)","Mangere","North Island general electorates","20 Years or More",NA
"Australia(3)","Manukau East","North Island general electorates","20 Years or More",156
"Pacific Islands(4)","Manukau East","North Island general electorates","20 Years or More",5190
"United Kingdom and Ireland(5)","Manukau East","North Island general electorates","20 Years or More",612
"Europe (excluding United Kingdom and Ireland)","Manukau East","North Island general electorates","20 Years or More",114
"North America","Manukau East","North Island general electorates","20 Years or More",39
"Asia","Manukau East","North Island general electorates","20 Years or More",903
"Middle East and Africa","Manukau East","North Island general electorates","20 Years or More",66
"Other","Manukau East","North Island general electorates","20 Years or More",33
"Not elsewhere included(7)","Manukau East","North Island general electorates","20 Years or More",NA
"Australia(3)","Manurewa","North Island general electorates","20 Years or More",222
"Pacific Islands(4)","Manurewa","North Island general electorates","20 Years or More",4113
"United Kingdom and Ireland(5)","Manurewa","North Island general electorates","20 Years or More",999
"Europe (excluding United Kingdom and Ireland)","Manurewa","North Island general electorates","20 Years or More",123
"North America","Manurewa","North Island general electorates","20 Years or More",51
"Asia","Manurewa","North Island general electorates","20 Years or More",1008
"Middle East and Africa","Manurewa","North Island general electorates","20 Years or More",87
"Other","Manurewa","North Island general electorates","20 Years or More",33
"Not elsewhere included(7)","Manurewa","North Island general electorates","20 Years or More",NA
"Australia(3)","Maungakiekie","North Island general electorates","20 Years or More",348
"Pacific Islands(4)","Maungakiekie","North Island general electorates","20 Years or More",2907
"United Kingdom and Ireland(5)","Maungakiekie","North Island general electorates","20 Years or More",1353
"Europe (excluding United Kingdom and Ireland)","Maungakiekie","North Island general electorates","20 Years or More",348
"North America","Maungakiekie","North Island general electorates","20 Years or More",111
"Asia","Maungakiekie","North Island general electorates","20 Years or More",1290
"Middle East and Africa","Maungakiekie","North Island general electorates","20 Years or More",159
"Other","Maungakiekie","North Island general electorates","20 Years or More",54
"Not elsewhere included(7)","Maungakiekie","North Island general electorates","20 Years or More",NA
"Australia(3)","Mt Albert","North Island general electorates","20 Years or More",480
"Pacific Islands(4)","Mt Albert","North Island general electorates","20 Years or More",1491
"United Kingdom and Ireland(5)","Mt Albert","North Island general electorates","20 Years or More",1818
"Europe (excluding United Kingdom and Ireland)","Mt Albert","North Island general electorates","20 Years or More",387
"North America","Mt Albert","North Island general electorates","20 Years or More",222
"Asia","Mt Albert","North Island general electorates","20 Years or More",939
"Middle East and Africa","Mt Albert","North Island general electorates","20 Years or More",195
"Other","Mt Albert","North Island general electorates","20 Years or More",45
"Not elsewhere included(7)","Mt Albert","North Island general electorates","20 Years or More",NA
"Australia(3)","Mt Roskill","North Island general electorates","20 Years or More",318
"Pacific Islands(4)","Mt Roskill","North Island general electorates","20 Years or More",2295
"United Kingdom and Ireland(5)","Mt Roskill","North Island general electorates","20 Years or More",1362
"Europe (excluding United Kingdom and Ireland)","Mt Roskill","North Island general electorates","20 Years or More",336
"North America","Mt Roskill","North Island general electorates","20 Years or More",135
"Asia","Mt Roskill","North Island general electorates","20 Years or More",1932
"Middle East and Africa","Mt Roskill","North Island general electorates","20 Years or More",192
"Other","Mt Roskill","North Island general electorates","20 Years or More",36
"Not elsewhere included(7)","Mt Roskill","North Island general electorates","20 Years or More",NA
"Australia(3)","Napier","North Island general electorates","20 Years or More",390
"Pacific Islands(4)","Napier","North Island general electorates","20 Years or More",198
"United Kingdom and Ireland(5)","Napier","North Island general electorates","20 Years or More",2529
"Europe (excluding United Kingdom and Ireland)","Napier","North Island general electorates","20 Years or More",372
"North America","Napier","North Island general electorates","20 Years or More",114
"Asia","Napier","North Island general electorates","20 Years or More",306
"Middle East and Africa","Napier","North Island general electorates","20 Years or More",99
"Other","Napier","North Island general electorates","20 Years or More",12
"Not elsewhere included(7)","Napier","North Island general electorates","20 Years or More",NA
"Australia(3)","New Lynn","North Island general electorates","20 Years or More",384
"Pacific Islands(4)","New Lynn","North Island general electorates","20 Years or More",2016
"United Kingdom and Ireland(5)","New Lynn","North Island general electorates","20 Years or More",1956
"Europe (excluding United Kingdom and Ireland)","New Lynn","North Island general electorates","20 Years or More",414
"North America","New Lynn","North Island general electorates","20 Years or More",132
"Asia","New Lynn","North Island general electorates","20 Years or More",1290
"Middle East and Africa","New Lynn","North Island general electorates","20 Years or More",162
"Other","New Lynn","North Island general electorates","20 Years or More",30
"Not elsewhere included(7)","New Lynn","North Island general electorates","20 Years or More",NA
"Australia(3)","New Plymouth","North Island general electorates","20 Years or More",390
"Pacific Islands(4)","New Plymouth","North Island general electorates","20 Years or More",141
"United Kingdom and Ireland(5)","New Plymouth","North Island general electorates","20 Years or More",1953
"Europe (excluding United Kingdom and Ireland)","New Plymouth","North Island general electorates","20 Years or More",381
"North America","New Plymouth","North Island general electorates","20 Years or More",117
"Asia","New Plymouth","North Island general electorates","20 Years or More",270
"Middle East and Africa","New Plymouth","North Island general electorates","20 Years or More",108
"Other","New Plymouth","North Island general electorates","20 Years or More",15
"Not elsewhere included(7)","New Plymouth","North Island general electorates","20 Years or More",NA
"Australia(3)","North Shore","North Island general electorates","20 Years or More",537
"Pacific Islands(4)","North Shore","North Island general electorates","20 Years or More",309
"United Kingdom and Ireland(5)","North Shore","North Island general electorates","20 Years or More",3297
"Europe (excluding United Kingdom and Ireland)","North Shore","North Island general electorates","20 Years or More",492
"North America","North Shore","North Island general electorates","20 Years or More",249
"Asia","North Shore","North Island general electorates","20 Years or More",861
"Middle East and Africa","North Shore","North Island general electorates","20 Years or More",258
"Other","North Shore","North Island general electorates","20 Years or More",51
"Not elsewhere included(7)","North Shore","North Island general electorates","20 Years or More",NA
"Australia(3)","Northcote","North Island general electorates","20 Years or More",537
"Pacific Islands(4)","Northcote","North Island general electorates","20 Years or More",720
"United Kingdom and Ireland(5)","Northcote","North Island general electorates","20 Years or More",2760
"Europe (excluding United Kingdom and Ireland)","Northcote","North Island general electorates","20 Years or More",405
"North America","Northcote","North Island general electorates","20 Years or More",183
"Asia","Northcote","North Island general electorates","20 Years or More",1191
"Middle East and Africa","Northcote","North Island general electorates","20 Years or More",180
"Other","Northcote","North Island general electorates","20 Years or More",54
"Not elsewhere included(7)","Northcote","North Island general electorates","20 Years or More",NA
"Australia(3)","Northland","North Island general electorates","20 Years or More",600
"Pacific Islands(4)","Northland","North Island general electorates","20 Years or More",303
"United Kingdom and Ireland(5)","Northland","North Island general electorates","20 Years or More",2850
"Europe (excluding United Kingdom and Ireland)","Northland","North Island general electorates","20 Years or More",669
"North America","Northland","North Island general electorates","20 Years or More",255
"Asia","Northland","North Island general electorates","20 Years or More",234
"Middle East and Africa","Northland","North Island general electorates","20 Years or More",141
"Other","Northland","North Island general electorates","20 Years or More",30
"Not elsewhere included(7)","Northland","North Island general electorates","20 Years or More",NA
"Australia(3)","Ohariu","North Island general electorates","20 Years or More",375
"Pacific Islands(4)","Ohariu","North Island general electorates","20 Years or More",687
"United Kingdom and Ireland(5)","Ohariu","North Island general electorates","20 Years or More",2337
"Europe (excluding United Kingdom and Ireland)","Ohariu","North Island general electorates","20 Years or More",447
"North America","Ohariu","North Island general electorates","20 Years or More",192
"Asia","Ohariu","North Island general electorates","20 Years or More",1461
"Middle East and Africa","Ohariu","North Island general electorates","20 Years or More",186
"Other","Ohariu","North Island general electorates","20 Years or More",45
"Not elsewhere included(7)","Ohariu","North Island general electorates","20 Years or More",NA
"Australia(3)","Otaki","North Island general electorates","20 Years or More",456
"Pacific Islands(4)","Otaki","North Island general electorates","20 Years or More",276
"United Kingdom and Ireland(5)","Otaki","North Island general electorates","20 Years or More",4047
"Europe (excluding United Kingdom and Ireland)","Otaki","North Island general electorates","20 Years or More",645
"North America","Otaki","North Island general electorates","20 Years or More",150
"Asia","Otaki","North Island general electorates","20 Years or More",411
"Middle East and Africa","Otaki","North Island general electorates","20 Years or More",135
"Other","Otaki","North Island general electorates","20 Years or More",21
"Not elsewhere included(7)","Otaki","North Island general electorates","20 Years or More",NA
"Australia(3)","Pakuranga","North Island general electorates","20 Years or More",369
"Pacific Islands(4)","Pakuranga","North Island general electorates","20 Years or More",570
"United Kingdom and Ireland(5)","Pakuranga","North Island general electorates","20 Years or More",2634
"Europe (excluding United Kingdom and Ireland)","Pakuranga","North Island general electorates","20 Years or More",459
"North America","Pakuranga","North Island general electorates","20 Years or More",138
"Asia","Pakuranga","North Island general electorates","20 Years or More",1554
"Middle East and Africa","Pakuranga","North Island general electorates","20 Years or More",237
"Other","Pakuranga","North Island general electorates","20 Years or More",51
"Not elsewhere included(7)","Pakuranga","North Island general electorates","20 Years or More",NA
"Australia(3)","Palmerston North","North Island general electorates","20 Years or More",369
"Pacific Islands(4)","Palmerston North","North Island general electorates","20 Years or More",423
"United Kingdom and Ireland(5)","Palmerston North","North Island general electorates","20 Years or More",1665
"Europe (excluding United Kingdom and Ireland)","Palmerston North","North Island general electorates","20 Years or More",267
"North America","Palmerston North","North Island general electorates","20 Years or More",105
"Asia","Palmerston North","North Island general electorates","20 Years or More",630
"Middle East and Africa","Palmerston North","North Island general electorates","20 Years or More",108
"Other","Palmerston North","North Island general electorates","20 Years or More",48
"Not elsewhere included(7)","Palmerston North","North Island general electorates","20 Years or More",NA
"Australia(3)","Papakura","North Island general electorates","20 Years or More",399
"Pacific Islands(4)","Papakura","North Island general electorates","20 Years or More",1479
"United Kingdom and Ireland(5)","Papakura","North Island general electorates","20 Years or More",2217
"Europe (excluding United Kingdom and Ireland)","Papakura","North Island general electorates","20 Years or More",423
"North America","Papakura","North Island general electorates","20 Years or More",105
"Asia","Papakura","North Island general electorates","20 Years or More",894
"Middle East and Africa","Papakura","North Island general electorates","20 Years or More",150
"Other","Papakura","North Island general electorates","20 Years or More",33
"Not elsewhere included(7)","Papakura","North Island general electorates","20 Years or More",NA
"Australia(3)","Rangitikei","North Island general electorates","20 Years or More",384
"Pacific Islands(4)","Rangitikei","North Island general electorates","20 Years or More",129
"United Kingdom and Ireland(5)","Rangitikei","North Island general electorates","20 Years or More",1839
"Europe (excluding United Kingdom and Ireland)","Rangitikei","North Island general electorates","20 Years or More",324
"North America","Rangitikei","North Island general electorates","20 Years or More",99
"Asia","Rangitikei","North Island general electorates","20 Years or More",258
"Middle East and Africa","Rangitikei","North Island general electorates","20 Years or More",81
"Other","Rangitikei","North Island general electorates","20 Years or More",24
"Not elsewhere included(7)","Rangitikei","North Island general electorates","20 Years or More",NA
"Australia(3)","Rimutaka","North Island general electorates","20 Years or More",363
