"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Other","New Plymouth","North Island general electorates","Less than 1 Year",33
"Not elsewhere included(7)","New Plymouth","North Island general electorates","Less than 1 Year",NA
"Australia(3)","North Shore","North Island general electorates","Less than 1 Year",90
"Pacific Islands(4)","North Shore","North Island general electorates","Less than 1 Year",12
"United Kingdom and Ireland(5)","North Shore","North Island general electorates","Less than 1 Year",219
"Europe (excluding United Kingdom and Ireland)","North Shore","North Island general electorates","Less than 1 Year",108
"North America","North Shore","North Island general electorates","Less than 1 Year",99
"Asia","North Shore","North Island general electorates","Less than 1 Year",618
"Middle East and Africa","North Shore","North Island general electorates","Less than 1 Year",93
"Other","North Shore","North Island general electorates","Less than 1 Year",24
"Not elsewhere included(7)","North Shore","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Northcote","North Island general electorates","Less than 1 Year",27
"Pacific Islands(4)","Northcote","North Island general electorates","Less than 1 Year",27
"United Kingdom and Ireland(5)","Northcote","North Island general electorates","Less than 1 Year",72
"Europe (excluding United Kingdom and Ireland)","Northcote","North Island general electorates","Less than 1 Year",66
"North America","Northcote","North Island general electorates","Less than 1 Year",24
"Asia","Northcote","North Island general electorates","Less than 1 Year",723
"Middle East and Africa","Northcote","North Island general electorates","Less than 1 Year",63
"Other","Northcote","North Island general electorates","Less than 1 Year",33
"Not elsewhere included(7)","Northcote","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Northland","North Island general electorates","Less than 1 Year",51
"Pacific Islands(4)","Northland","North Island general electorates","Less than 1 Year",18
"United Kingdom and Ireland(5)","Northland","North Island general electorates","Less than 1 Year",93
"Europe (excluding United Kingdom and Ireland)","Northland","North Island general electorates","Less than 1 Year",54
"North America","Northland","North Island general electorates","Less than 1 Year",30
"Asia","Northland","North Island general electorates","Less than 1 Year",93
"Middle East and Africa","Northland","North Island general electorates","Less than 1 Year",21
"Other","Northland","North Island general electorates","Less than 1 Year",9
"Not elsewhere included(7)","Northland","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Ohariu","North Island general electorates","Less than 1 Year",45
"Pacific Islands(4)","Ohariu","North Island general electorates","Less than 1 Year",33
"United Kingdom and Ireland(5)","Ohariu","North Island general electorates","Less than 1 Year",138
"Europe (excluding United Kingdom and Ireland)","Ohariu","North Island general electorates","Less than 1 Year",36
"North America","Ohariu","North Island general electorates","Less than 1 Year",42
"Asia","Ohariu","North Island general electorates","Less than 1 Year",321
"Middle East and Africa","Ohariu","North Island general electorates","Less than 1 Year",54
"Other","Ohariu","North Island general electorates","Less than 1 Year",9
"Not elsewhere included(7)","Ohariu","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Otaki","North Island general electorates","Less than 1 Year",36
"Pacific Islands(4)","Otaki","North Island general electorates","Less than 1 Year",33
"United Kingdom and Ireland(5)","Otaki","North Island general electorates","Less than 1 Year",75
"Europe (excluding United Kingdom and Ireland)","Otaki","North Island general electorates","Less than 1 Year",21
"North America","Otaki","North Island general electorates","Less than 1 Year",15
"Asia","Otaki","North Island general electorates","Less than 1 Year",81
"Middle East and Africa","Otaki","North Island general electorates","Less than 1 Year",21
"Other","Otaki","North Island general electorates","Less than 1 Year",0
"Not elsewhere included(7)","Otaki","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Pakuranga","North Island general electorates","Less than 1 Year",24
"Pacific Islands(4)","Pakuranga","North Island general electorates","Less than 1 Year",36
"United Kingdom and Ireland(5)","Pakuranga","North Island general electorates","Less than 1 Year",132
"Europe (excluding United Kingdom and Ireland)","Pakuranga","North Island general electorates","Less than 1 Year",63
"North America","Pakuranga","North Island general electorates","Less than 1 Year",27
"Asia","Pakuranga","North Island general electorates","Less than 1 Year",612
"Middle East and Africa","Pakuranga","North Island general electorates","Less than 1 Year",96
"Other","Pakuranga","North Island general electorates","Less than 1 Year",9
"Not elsewhere included(7)","Pakuranga","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Palmerston North","North Island general electorates","Less than 1 Year",30
