"level0","level1","Total household income(1)","count"
"New Plymouth","North Island general electorates","$5,001– $10,000",480
"North Shore","North Island general electorates","$5,001– $10,000",429
"Northcote","North Island general electorates","$5,001– $10,000",402
"Northland","North Island general electorates","$5,001– $10,000",1062
"Ohariu","North Island general electorates","$5,001– $10,000",210
"Otaki","North Island general electorates","$5,001– $10,000",486
"Pakuranga","North Island general electorates","$5,001– $10,000",417
"Palmerston North","North Island general electorates","$5,001– $10,000",642
"Papakura","North Island general electorates","$5,001– $10,000",624
"Rangitikei","North Island general electorates","$5,001– $10,000",546
"Rimutaka","North Island general electorates","$5,001– $10,000",543
"Rodney","North Island general electorates","$5,001– $10,000",297
"Rongotai","North Island general electorates","$5,001– $10,000",402
"Rotorua","North Island general electorates","$5,001– $10,000",660
"Tamaki","North Island general electorates","$5,001– $10,000",402
"Taranaki-King Country","North Island general electorates","$5,001– $10,000",408
"Taupo","North Island general electorates","$5,001– $10,000",537
"Tauranga","North Island general electorates","$5,001– $10,000",429
"Te Atatu","North Island general electorates","$5,001– $10,000",531
"Tukituki","North Island general electorates","$5,001– $10,000",594
"Upper Harbour","North Island general electorates","$5,001– $10,000",432
"Waikato","North Island general electorates","$5,001– $10,000",459
"Wairarapa","North Island general electorates","$5,001– $10,000",480
"Wellington Central","North Island general electorates","$5,001– $10,000",525
"Whanganui","North Island general electorates","$5,001– $10,000",603
"Whangarei","North Island general electorates","$5,001– $10,000",618
"Christchurch Central","South Island general electorates","$5,001– $10,000",480
"Christchurch East","South Island general electorates","$5,001– $10,000",447
"Clutha-Southland","South Island general electorates","$5,001– $10,000",327
"Dunedin North","South Island general electorates","$5,001– $10,000",825
"Dunedin South","South Island general electorates","$5,001– $10,000",360
"Ilam","South Island general electorates","$5,001– $10,000",366
"Invercargill","South Island general electorates","$5,001– $10,000",456
"Kaikoura","South Island general electorates","$5,001– $10,000",393
"Nelson","South Island general electorates","$5,001– $10,000",393
"Port Hills","South Island general electorates","$5,001– $10,000",261
"Rangitata","South Island general electorates","$5,001– $10,000",303
"Selwyn","South Island general electorates","$5,001– $10,000",174
"Waimakariri","South Island general electorates","$5,001– $10,000",213
"Waitaki","South Island general electorates","$5,001– $10,000",381
"West Coast-Tasman","South Island general electorates","$5,001– $10,000",516
"Wigram","South Island general electorates","$5,001– $10,000",465
"Area Outside General Electorate","South Island general electorates","$5,001– $10,000",NA
"Auckland Central","North Island general electorates","$10,001– $15,000",981
"Bay of Plenty","North Island general electorates","$10,001– $15,000",822
"Botany","North Island general electorates","$10,001– $15,000",636
"Coromandel","North Island general electorates","$10,001– $15,000",1425
"East Coast","North Island general electorates","$10,001– $15,000",2064
"East Coast Bays","North Island general electorates","$10,001– $15,000",474
"Epsom","North Island general electorates","$10,001– $15,000",468
"Hamilton East","North Island general electorates","$10,001– $15,000",1089
"Hamilton West","North Island general electorates","$10,001– $15,000",948
"Helensville","North Island general electorates","$10,001– $15,000",438
"Hunua","North Island general electorates","$10,001– $15,000",543
"Hutt South","North Island general electorates","$10,001– $15,000",792
"Kelston","North Island general electorates","$10,001– $15,000",708
"Mana","North Island general electorates","$10,001– $15,000",804
"Mangere","North Island general electorates","$10,001– $15,000",822
"Manukau East","North Island general electorates","$10,001– $15,000",879
"Manurewa","North Island general electorates","$10,001– $15,000",906
"Maungakiekie","North Island general electorates","$10,001– $15,000",960
"Mt Albert","North Island general electorates","$10,001– $15,000",666
"Mt Roskill","North Island general electorates","$10,001– $15,000",897
"Napier","North Island general electorates","$10,001– $15,000",1311
"New Lynn","North Island general electorates","$10,001– $15,000",723
"New Plymouth","North Island general electorates","$10,001– $15,000",1107
"North Shore","North Island general electorates","$10,001– $15,000",561
"Northcote","North Island general electorates","$10,001– $15,000",630
"Northland","North Island general electorates","$10,001– $15,000",1854
"Ohariu","North Island general electorates","$10,001– $15,000",330
"Otaki","North Island general electorates","$10,001– $15,000",1242
"Pakuranga","North Island general electorates","$10,001– $15,000",558
"Palmerston North","North Island general electorates","$10,001– $15,000",1347
"Papakura","North Island general electorates","$10,001– $15,000",846
"Rangitikei","North Island general electorates","$10,001– $15,000",1161
