"level0","level1","level2","level3","Total personal income(1)","count"
"Female","15–19 Years","Helensville","North Island general electorates","Loss",12
"Male","20–24 Years","Helensville","North Island general electorates","Loss",12
"Female","20–24 Years","Helensville","North Island general electorates","Loss",3
"Male","25–29 Years","Helensville","North Island general electorates","Loss",6
"Female","25–29 Years","Helensville","North Island general electorates","Loss",6
"Male","30–34 Years","Helensville","North Island general electorates","Loss",9
"Female","30–34 Years","Helensville","North Island general electorates","Loss",12
"Male","35–39 Years","Helensville","North Island general electorates","Loss",9
"Female","35–39 Years","Helensville","North Island general electorates","Loss",18
"Male","40–44 Years","Helensville","North Island general electorates","Loss",15
"Female","40–44 Years","Helensville","North Island general electorates","Loss",12
"Male","45–49 Years","Helensville","North Island general electorates","Loss",27
"Female","45–49 Years","Helensville","North Island general electorates","Loss",18
"Male","50–54 Years","Helensville","North Island general electorates","Loss",33
"Female","50–54 Years","Helensville","North Island general electorates","Loss",12
"Male","55–59 Years","Helensville","North Island general electorates","Loss",21
"Female","55–59 Years","Helensville","North Island general electorates","Loss",9
"Male","60–64 Years","Helensville","North Island general electorates","Loss",18
"Female","60–64 Years","Helensville","North Island general electorates","Loss",12
"Male","65–69 Years","Helensville","North Island general electorates","Loss",9
"Female","65–69 Years","Helensville","North Island general electorates","Loss",6
"Male","70–74 Years","Helensville","North Island general electorates","Loss",6
"Female","70–74 Years","Helensville","North Island general electorates","Loss",3
"Male","75–79 Years","Helensville","North Island general electorates","Loss",3
"Female","75–79 Years","Helensville","North Island general electorates","Loss",0
"Male","80–84 Years","Helensville","North Island general electorates","Loss",0
"Female","80–84 Years","Helensville","North Island general electorates","Loss",3
"Male","85 Years And Over","Helensville","North Island general electorates","Loss",0
"Female","85 Years And Over","Helensville","North Island general electorates","Loss",0
"Male","15–19 Years","Hunua","North Island general electorates","Loss",9
"Female","15–19 Years","Hunua","North Island general electorates","Loss",9
"Male","20–24 Years","Hunua","North Island general electorates","Loss",9
"Female","20–24 Years","Hunua","North Island general electorates","Loss",9
"Male","25–29 Years","Hunua","North Island general electorates","Loss",9
"Female","25–29 Years","Hunua","North Island general electorates","Loss",6
"Male","30–34 Years","Hunua","North Island general electorates","Loss",9
"Female","30–34 Years","Hunua","North Island general electorates","Loss",12
"Male","35–39 Years","Hunua","North Island general electorates","Loss",9
"Female","35–39 Years","Hunua","North Island general electorates","Loss",15
"Male","40–44 Years","Hunua","North Island general electorates","Loss",15
"Female","40–44 Years","Hunua","North Island general electorates","Loss",18
"Male","45–49 Years","Hunua","North Island general electorates","Loss",12
"Female","45–49 Years","Hunua","North Island general electorates","Loss",15
"Male","50–54 Years","Hunua","North Island general electorates","Loss",21
"Female","50–54 Years","Hunua","North Island general electorates","Loss",15
"Male","55–59 Years","Hunua","North Island general electorates","Loss",24
"Female","55–59 Years","Hunua","North Island general electorates","Loss",15
"Male","60–64 Years","Hunua","North Island general electorates","Loss",15
"Female","60–64 Years","Hunua","North Island general electorates","Loss",15
"Male","65–69 Years","Hunua","North Island general electorates","Loss",6
"Female","65–69 Years","Hunua","North Island general electorates","Loss",6
"Male","70–74 Years","Hunua","North Island general electorates","Loss",0
"Female","70–74 Years","Hunua","North Island general electorates","Loss",3
"Male","75–79 Years","Hunua","North Island general electorates","Loss",0
"Female","75–79 Years","Hunua","North Island general electorates","Loss",0
"Male","80–84 Years","Hunua","North Island general electorates","Loss",3
"Female","80–84 Years","Hunua","North Island general electorates","Loss",0
"Male","85 Years And Over","Hunua","North Island general electorates","Loss",0
"Female","85 Years And Over","Hunua","North Island general electorates","Loss",0
"Male","15–19 Years","Hutt South","North Island general electorates","Loss",12
"Female","15–19 Years","Hutt South","North Island general electorates","Loss",12
"Male","20–24 Years","Hutt South","North Island general electorates","Loss",6
"Female","20–24 Years","Hutt South","North Island general electorates","Loss",6
"Male","25–29 Years","Hutt South","North Island general electorates","Loss",3
"Female","25–29 Years","Hutt South","North Island general electorates","Loss",9
"Male","30–34 Years","Hutt South","North Island general electorates","Loss",9
"Female","30–34 Years","Hutt South","North Island general electorates","Loss",12
"Male","35–39 Years","Hutt South","North Island general electorates","Loss",9
"Female","35–39 Years","Hutt South","North Island general electorates","Loss",15
"Male","40–44 Years","Hutt South","North Island general electorates","Loss",6
"Female","40–44 Years","Hutt South","North Island general electorates","Loss",12
"Male","45–49 Years","Hutt South","North Island general electorates","Loss",12
"Female","45–49 Years","Hutt South","North Island general electorates","Loss",12
"Male","50–54 Years","Hutt South","North Island general electorates","Loss",12
"Female","50–54 Years","Hutt South","North Island general electorates","Loss",9
"Male","55–59 Years","Hutt South","North Island general electorates","Loss",6
"Female","55–59 Years","Hutt South","North Island general electorates","Loss",3
"Male","60–64 Years","Hutt South","North Island general electorates","Loss",3
"Female","60–64 Years","Hutt South","North Island general electorates","Loss",6
"Male","65–69 Years","Hutt South","North Island general electorates","Loss",3
"Female","65–69 Years","Hutt South","North Island general electorates","Loss",0
"Male","70–74 Years","Hutt South","North Island general electorates","Loss",0
"Female","70–74 Years","Hutt South","North Island general electorates","Loss",3
"Male","75–79 Years","Hutt South","North Island general electorates","Loss",0
"Female","75–79 Years","Hutt South","North Island general electorates","Loss",3
