"level0","level1","level2","Māori descent indicator(1) ","count"
"55–59 Years","Mangere","North Island general electorates","Māori descent",375
"60–64 Years","Mangere","North Island general electorates","Māori descent",303
"65–69 Years","Mangere","North Island general electorates","Māori descent",261
"70–74 Years","Mangere","North Island general electorates","Māori descent",180
"75–79 Years","Mangere","North Island general electorates","Māori descent",81
"80–84 Years","Mangere","North Island general electorates","Māori descent",36
"85 Years And Over","Mangere","North Island general electorates","Māori descent",15
"18 Years And Over","Mangere","North Island general electorates","Māori descent",5805
"0–4 Years","Manukau East","North Island general electorates","Māori descent",1146
"5–9 Years","Manukau East","North Island general electorates","Māori descent",978
"10–14 Years","Manukau East","North Island general electorates","Māori descent",981
"15–19 Years","Manukau East","North Island general electorates","Māori descent",882
"20–24 Years","Manukau East","North Island general electorates","Māori descent",831
"25–29 Years","Manukau East","North Island general electorates","Māori descent",594
"30–34 Years","Manukau East","North Island general electorates","Māori descent",567
"35–39 Years","Manukau East","North Island general electorates","Māori descent",483
"40–44 Years","Manukau East","North Island general electorates","Māori descent",525
"45–49 Years","Manukau East","North Island general electorates","Māori descent",558
"50–54 Years","Manukau East","North Island general electorates","Māori descent",489
"55–59 Years","Manukau East","North Island general electorates","Māori descent",396
"60–64 Years","Manukau East","North Island general electorates","Māori descent",327
"65–69 Years","Manukau East","North Island general electorates","Māori descent",216
"70–74 Years","Manukau East","North Island general electorates","Māori descent",162
"75–79 Years","Manukau East","North Island general electorates","Māori descent",105
"80–84 Years","Manukau East","North Island general electorates","Māori descent",42
"85 Years And Over","Manukau East","North Island general electorates","Māori descent",15
"18 Years And Over","Manukau East","North Island general electorates","Māori descent",5655
"0–4 Years","Manurewa","North Island general electorates","Māori descent",2130
"5–9 Years","Manurewa","North Island general electorates","Māori descent",2007
"10–14 Years","Manurewa","North Island general electorates","Māori descent",1737
"15–19 Years","Manurewa","North Island general electorates","Māori descent",1740
"20–24 Years","Manurewa","North Island general electorates","Māori descent",1506
"25–29 Years","Manurewa","North Island general electorates","Māori descent",1149
"30–34 Years","Manurewa","North Island general electorates","Māori descent",990
"35–39 Years","Manurewa","North Island general electorates","Māori descent",936
"40–44 Years","Manurewa","North Island general electorates","Māori descent",1008
"45–49 Years","Manurewa","North Island general electorates","Māori descent",918
"50–54 Years","Manurewa","North Island general electorates","Māori descent",885
"55–59 Years","Manurewa","North Island general electorates","Māori descent",642
"60–64 Years","Manurewa","North Island general electorates","Māori descent",447
"65–69 Years","Manurewa","North Island general electorates","Māori descent",291
"70–74 Years","Manurewa","North Island general electorates","Māori descent",159
"75–79 Years","Manurewa","North Island general electorates","Māori descent",96
"80–84 Years","Manurewa","North Island general electorates","Māori descent",42
"85 Years And Over","Manurewa","North Island general electorates","Māori descent",15
"18 Years And Over","Manurewa","North Island general electorates","Māori descent",9753
"0–4 Years","Maungakiekie","North Island general electorates","Māori descent",1023
"5–9 Years","Maungakiekie","North Island general electorates","Māori descent",807
"10–14 Years","Maungakiekie","North Island general electorates","Māori descent",702
"15–19 Years","Maungakiekie","North Island general electorates","Māori descent",678
"20–24 Years","Maungakiekie","North Island general electorates","Māori descent",783
"25–29 Years","Maungakiekie","North Island general electorates","Māori descent",648
"30–34 Years","Maungakiekie","North Island general electorates","Māori descent",624
"35–39 Years","Maungakiekie","North Island general electorates","Māori descent",591
"40–44 Years","Maungakiekie","North Island general electorates","Māori descent",570
"45–49 Years","Maungakiekie","North Island general electorates","Māori descent",483
