"level0","level1","level2","Māori descent indicator(1) ","count"
"80–84 Years","Tamaki","North Island general electorates","Not elsewhere included(3)",171
"85 Years And Over","Tamaki","North Island general electorates","Not elsewhere included(3)",243
"18 Years And Over","Tamaki","North Island general electorates","Not elsewhere included(3)",4326
"0–4 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",405
"5–9 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",459
"10–14 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",387
"15–19 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",390
"20–24 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",312
"25–29 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",318
"30–34 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",336
"35–39 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",384
"40–44 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",378
"45–49 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",408
"50–54 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",468
"55–59 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",477
"60–64 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",411
"65–69 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",372
"70–74 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",333
"75–79 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",249
"80–84 Years","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",180
"85 Years And Over","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",156
"18 Years And Over","Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",4923
"0–4 Years","Taupo","North Island general electorates","Not elsewhere included(3)",480
"5–9 Years","Taupo","North Island general electorates","Not elsewhere included(3)",480
"10–14 Years","Taupo","North Island general electorates","Not elsewhere included(3)",552
"15–19 Years","Taupo","North Island general electorates","Not elsewhere included(3)",495
"20–24 Years","Taupo","North Island general electorates","Not elsewhere included(3)",420
"25–29 Years","Taupo","North Island general electorates","Not elsewhere included(3)",315
"30–34 Years","Taupo","North Island general electorates","Not elsewhere included(3)",348
"35–39 Years","Taupo","North Island general electorates","Not elsewhere included(3)",390
"40–44 Years","Taupo","North Island general electorates","Not elsewhere included(3)",474
"45–49 Years","Taupo","North Island general electorates","Not elsewhere included(3)",474
"50–54 Years","Taupo","North Island general electorates","Not elsewhere included(3)",483
"55–59 Years","Taupo","North Island general electorates","Not elsewhere included(3)",438
"60–64 Years","Taupo","North Island general electorates","Not elsewhere included(3)",402
"65–69 Years","Taupo","North Island general electorates","Not elsewhere included(3)",468
"70–74 Years","Taupo","North Island general electorates","Not elsewhere included(3)",426
"75–79 Years","Taupo","North Island general electorates","Not elsewhere included(3)",318
"80–84 Years","Taupo","North Island general electorates","Not elsewhere included(3)",282
"85 Years And Over","Taupo","North Island general electorates","Not elsewhere included(3)",210
"18 Years And Over","Taupo","North Island general electorates","Not elsewhere included(3)",5613
"0–4 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",300
"5–9 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",327
"10–14 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",345
"15–19 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",321
"20–24 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",360
"25–29 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",321
"30–34 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",279
"35–39 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",267
"40–44 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",324
"45–49 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",324
"50–54 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",357
"55–59 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",351
"60–64 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",339
"65–69 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",324
"70–74 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",327
"75–79 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",291
"80–84 Years","Tauranga","North Island general electorates","Not elsewhere included(3)",294
"85 Years And Over","Tauranga","North Island general electorates","Not elsewhere included(3)",384
"18 Years And Over","Tauranga","North Island general electorates","Not elsewhere included(3)",4659
"0–4 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",627
"5–9 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",534
"10–14 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",522
"15–19 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",570
"20–24 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",501
"25–29 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",435
"30–34 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",462
"35–39 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",420
"40–44 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",519
"45–49 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",486
"50–54 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",462
"55–59 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",429
"60–64 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",393
"65–69 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",333
"70–74 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",258
"75–79 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",198
"80–84 Years","Te Atatu","North Island general electorates","Not elsewhere included(3)",174
"85 Years And Over","Te Atatu","North Island general electorates","Not elsewhere included(3)",165
"18 Years And Over","Te Atatu","North Island general electorates","Not elsewhere included(3)",5454
"0–4 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",588
"5–9 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",540
"10–14 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",594
"15–19 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",606
"20–24 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",516
"25–29 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",447
"30–34 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",387
"35–39 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",447
"40–44 Years","Tukituki","North Island general electorates","Not elsewhere included(3)",507
