"level0","level1","Household composition","count"
"Mt Albert","North Island general electorates","Household composition unidentifiable",1722
"Mt Roskill","North Island general electorates","Household composition unidentifiable",1578
"Napier","North Island general electorates","Household composition unidentifiable",1875
"New Lynn","North Island general electorates","Household composition unidentifiable",1944
"New Plymouth","North Island general electorates","Household composition unidentifiable",1572
"North Shore","North Island general electorates","Household composition unidentifiable",1182
"Northcote","North Island general electorates","Household composition unidentifiable",1794
"Northland","North Island general electorates","Household composition unidentifiable",4866
"Ohariu","North Island general electorates","Household composition unidentifiable",1107
"Otaki","North Island general electorates","Household composition unidentifiable",1599
"Pakuranga","North Island general electorates","Household composition unidentifiable",1044
"Palmerston North","North Island general electorates","Household composition unidentifiable",1818
"Papakura","North Island general electorates","Household composition unidentifiable",2919
"Rangitikei","North Island general electorates","Household composition unidentifiable",1254
"Rimutaka","North Island general electorates","Household composition unidentifiable",2151
"Rodney","North Island general electorates","Household composition unidentifiable",1539
"Rongotai","North Island general electorates","Household composition unidentifiable",1689
"Rotorua","North Island general electorates","Household composition unidentifiable",3927
"Tamaki","North Island general electorates","Household composition unidentifiable",2160
"Taranaki-King Country","North Island general electorates","Household composition unidentifiable",2001
"Taupo","North Island general electorates","Household composition unidentifiable",2277
"Tauranga","North Island general electorates","Household composition unidentifiable",1539
"Te Atatu","North Island general electorates","Household composition unidentifiable",2496
"Tukituki","North Island general electorates","Household composition unidentifiable",2295
"Upper Harbour","North Island general electorates","Household composition unidentifiable",2055
"Waikato","North Island general electorates","Household composition unidentifiable",2457
"Wairarapa","North Island general electorates","Household composition unidentifiable",1557
"Wellington Central","North Island general electorates","Household composition unidentifiable",1542
"Whanganui","North Island general electorates","Household composition unidentifiable",2130
"Whangarei","North Island general electorates","Household composition unidentifiable",2850
"Christchurch Central","South Island general electorates","Household composition unidentifiable",1608
"Christchurch East","South Island general electorates","Household composition unidentifiable",2163
"Clutha-Southland","South Island general electorates","Household composition unidentifiable",1782
"Dunedin North","South Island general electorates","Household composition unidentifiable",1644
"Dunedin South","South Island general electorates","Household composition unidentifiable",1128
"Ilam","South Island general electorates","Household composition unidentifiable",795
"Invercargill","South Island general electorates","Household composition unidentifiable",1410
"Kaikoura","South Island general electorates","Household composition unidentifiable",1431
"Nelson","South Island general electorates","Household composition unidentifiable",1023
"Port Hills","South Island general electorates","Household composition unidentifiable",1308
"Rangitata","South Island general electorates","Household composition unidentifiable",981
"Selwyn","South Island general electorates","Household composition unidentifiable",1125
"Waimakariri","South Island general electorates","Household composition unidentifiable",927
"Waitaki","South Island general electorates","Household composition unidentifiable",1470
"West Coast-Tasman","South Island general electorates","Household composition unidentifiable",1968
"Wigram","South Island general electorates","Household composition unidentifiable",1527
"Area Outside General Electorate","South Island general electorates","Household composition unidentifiable",NA
