"level0","level1","level2","level3","Years at usual residence","count"
"Female","15–19 Years","Hamilton West","North Island general electorates","Less than 1 Year",717
"Male","20–24 Years","Hamilton West","North Island general electorates","Less than 1 Year",1317
"Female","20–24 Years","Hamilton West","North Island general electorates","Less than 1 Year",1539
"Male","25–29 Years","Hamilton West","North Island general electorates","Less than 1 Year",1140
"Female","25–29 Years","Hamilton West","North Island general electorates","Less than 1 Year",1305
"Male","30–34 Years","Hamilton West","North Island general electorates","Less than 1 Year",735
"Female","30–34 Years","Hamilton West","North Island general electorates","Less than 1 Year",822
"Male","35–39 Years","Hamilton West","North Island general electorates","Less than 1 Year",609
"Female","35–39 Years","Hamilton West","North Island general electorates","Less than 1 Year",507
"Male","40–44 Years","Hamilton West","North Island general electorates","Less than 1 Year",426
"Female","40–44 Years","Hamilton West","North Island general electorates","Less than 1 Year",453
"Male","45–49 Years","Hamilton West","North Island general electorates","Less than 1 Year",315
"Female","45–49 Years","Hamilton West","North Island general electorates","Less than 1 Year",354
"Male","50–54 Years","Hamilton West","North Island general electorates","Less than 1 Year",270
"Female","50–54 Years","Hamilton West","North Island general electorates","Less than 1 Year",318
"Male","55–59 Years","Hamilton West","North Island general electorates","Less than 1 Year",222
"Female","55–59 Years","Hamilton West","North Island general electorates","Less than 1 Year",237
"Male","60–64 Years","Hamilton West","North Island general electorates","Less than 1 Year",177
"Female","60–64 Years","Hamilton West","North Island general electorates","Less than 1 Year",156
"Male","65–69 Years","Hamilton West","North Island general electorates","Less than 1 Year",90
"Female","65–69 Years","Hamilton West","North Island general electorates","Less than 1 Year",111
"Male","70–74 Years","Hamilton West","North Island general electorates","Less than 1 Year",57
"Female","70–74 Years","Hamilton West","North Island general electorates","Less than 1 Year",66
"Male","75–79 Years","Hamilton West","North Island general electorates","Less than 1 Year",42
"Female","75–79 Years","Hamilton West","North Island general electorates","Less than 1 Year",57
"Male","80–84 Years","Hamilton West","North Island general electorates","Less than 1 Year",21
"Female","80–84 Years","Hamilton West","North Island general electorates","Less than 1 Year",42
"Male","85 Years And Over","Hamilton West","North Island general electorates","Less than 1 Year",21
"Female","85 Years And Over","Hamilton West","North Island general electorates","Less than 1 Year",42
"Male","0–4 Years","Helensville","North Island general electorates","Less than 1 Year",666
"Female","0–4 Years","Helensville","North Island general electorates","Less than 1 Year",636
"Male","5–9 Years","Helensville","North Island general electorates","Less than 1 Year",363
"Female","5–9 Years","Helensville","North Island general electorates","Less than 1 Year",345
"Male","10–14 Years","Helensville","North Island general electorates","Less than 1 Year",297
"Female","10–14 Years","Helensville","North Island general electorates","Less than 1 Year",261
"Male","15–19 Years","Helensville","North Island general electorates","Less than 1 Year",282
"Female","15–19 Years","Helensville","North Island general electorates","Less than 1 Year",318
"Male","20–24 Years","Helensville","North Island general electorates","Less than 1 Year",453
"Female","20–24 Years","Helensville","North Island general electorates","Less than 1 Year",498
"Male","25–29 Years","Helensville","North Island general electorates","Less than 1 Year",453
"Female","25–29 Years","Helensville","North Island general electorates","Less than 1 Year",531
"Male","30–34 Years","Helensville","North Island general electorates","Less than 1 Year",429
"Female","30–34 Years","Helensville","North Island general electorates","Less than 1 Year",492
"Male","35–39 Years","Helensville","North Island general electorates","Less than 1 Year",420
"Female","35–39 Years","Helensville","North Island general electorates","Less than 1 Year",432
"Male","40–44 Years","Helensville","North Island general electorates","Less than 1 Year",423
"Female","40–44 Years","Helensville","North Island general electorates","Less than 1 Year",444
"Male","45–49 Years","Helensville","North Island general electorates","Less than 1 Year",366
"Female","45–49 Years","Helensville","North Island general electorates","Less than 1 Year",357
"Male","50–54 Years","Helensville","North Island general electorates","Less than 1 Year",285
"Female","50–54 Years","Helensville","North Island general electorates","Less than 1 Year",267
"Male","55–59 Years","Helensville","North Island general electorates","Less than 1 Year",189
"Female","55–59 Years","Helensville","North Island general electorates","Less than 1 Year",195
"Male","60–64 Years","Helensville","North Island general electorates","Less than 1 Year",126
"Female","60–64 Years","Helensville","North Island general electorates","Less than 1 Year",123
"Male","65–69 Years","Helensville","North Island general electorates","Less than 1 Year",90
"Female","65–69 Years","Helensville","North Island general electorates","Less than 1 Year",96
"Male","70–74 Years","Helensville","North Island general electorates","Less than 1 Year",60
"Female","70–74 Years","Helensville","North Island general electorates","Less than 1 Year",48
"Male","75–79 Years","Helensville","North Island general electorates","Less than 1 Year",21
"Female","75–79 Years","Helensville","North Island general electorates","Less than 1 Year",36
"Male","80–84 Years","Helensville","North Island general electorates","Less than 1 Year",15
"Female","80–84 Years","Helensville","North Island general electorates","Less than 1 Year",18
"Male","85 Years And Over","Helensville","North Island general electorates","Less than 1 Year",15
"Female","85 Years And Over","Helensville","North Island general electorates","Less than 1 Year",27
"Male","0–4 Years","Hunua","North Island general electorates","Less than 1 Year",984
"Female","0–4 Years","Hunua","North Island general electorates","Less than 1 Year",921
"Male","5–9 Years","Hunua","North Island general electorates","Less than 1 Year",549
"Female","5–9 Years","Hunua","North Island general electorates","Less than 1 Year",474
"Male","10–14 Years","Hunua","North Island general electorates","Less than 1 Year",438
"Female","10–14 Years","Hunua","North Island general electorates","Less than 1 Year",399
"Male","15–19 Years","Hunua","North Island general electorates","Less than 1 Year",402
"Female","15–19 Years","Hunua","North Island general electorates","Less than 1 Year",405
"Male","20–24 Years","Hunua","North Island general electorates","Less than 1 Year",528
"Female","20–24 Years","Hunua","North Island general electorates","Less than 1 Year",558
"Male","25–29 Years","Hunua","North Island general electorates","Less than 1 Year",495
"Female","25–29 Years","Hunua","North Island general electorates","Less than 1 Year",558
"Male","30–34 Years","Hunua","North Island general electorates","Less than 1 Year",483
"Female","30–34 Years","Hunua","North Island general electorates","Less than 1 Year",555
"Male","35–39 Years","Hunua","North Island general electorates","Less than 1 Year",513
"Female","35–39 Years","Hunua","North Island general electorates","Less than 1 Year",501
"Male","40–44 Years","Hunua","North Island general electorates","Less than 1 Year",480
"Female","40–44 Years","Hunua","North Island general electorates","Less than 1 Year",531
"Male","45–49 Years","Hunua","North Island general electorates","Less than 1 Year",384
"Female","45–49 Years","Hunua","North Island general electorates","Less than 1 Year",339
"Male","50–54 Years","Hunua","North Island general electorates","Less than 1 Year",312
"Female","50–54 Years","Hunua","North Island general electorates","Less than 1 Year",324
