"level0","level1","Access to telecommunication systems(1) ","count"
"Manurewa","North Island general electorates","Access to a Fax Machine",5904
"Maungakiekie","North Island general electorates","Access to a Fax Machine",6540
"Mt Albert","North Island general electorates","Access to a Fax Machine",6957
"Mt Roskill","North Island general electorates","Access to a Fax Machine",8772
"Napier","North Island general electorates","Access to a Fax Machine",9081
"New Lynn","North Island general electorates","Access to a Fax Machine",8280
"New Plymouth","North Island general electorates","Access to a Fax Machine",8838
"North Shore","North Island general electorates","Access to a Fax Machine",11958
"Northcote","North Island general electorates","Access to a Fax Machine",9492
"Northland","North Island general electorates","Access to a Fax Machine",12513
"Ohariu","North Island general electorates","Access to a Fax Machine",8166
"Otaki","North Island general electorates","Access to a Fax Machine",8649
"Pakuranga","North Island general electorates","Access to a Fax Machine",12159
"Palmerston North","North Island general electorates","Access to a Fax Machine",6267
"Papakura","North Island general electorates","Access to a Fax Machine",10161
"Rangitikei","North Island general electorates","Access to a Fax Machine",11631
"Rimutaka","North Island general electorates","Access to a Fax Machine",6918
"Rodney","North Island general electorates","Access to a Fax Machine",11709
"Rongotai","North Island general electorates","Access to a Fax Machine",6252
"Rotorua","North Island general electorates","Access to a Fax Machine",9666
"Tamaki","North Island general electorates","Access to a Fax Machine",11580
"Taranaki-King Country","North Island general electorates","Access to a Fax Machine",12528
"Taupo","North Island general electorates","Access to a Fax Machine",11268
"Tauranga","North Island general electorates","Access to a Fax Machine",9246
"Te Atatu","North Island general electorates","Access to a Fax Machine",8715
"Tukituki","North Island general electorates","Access to a Fax Machine",10482
"Upper Harbour","North Island general electorates","Access to a Fax Machine",9984
"Waikato","North Island general electorates","Access to a Fax Machine",13365
"Wairarapa","North Island general electorates","Access to a Fax Machine",10860
"Wellington Central","North Island general electorates","Access to a Fax Machine",5187
"Whanganui","North Island general electorates","Access to a Fax Machine",9078
"Whangarei","North Island general electorates","Access to a Fax Machine",9774
"Christchurch Central","South Island general electorates","Access to a Fax Machine",5808
"Christchurch East","South Island general electorates","Access to a Fax Machine",7314
"Clutha-Southland","South Island general electorates","Access to a Fax Machine",13929
"Dunedin North","South Island general electorates","Access to a Fax Machine",5109
"Dunedin South","South Island general electorates","Access to a Fax Machine",6888
"Ilam","South Island general electorates","Access to a Fax Machine",9636
"Invercargill","South Island general electorates","Access to a Fax Machine",8403
"Kaikoura","South Island general electorates","Access to a Fax Machine",12240
"Nelson","South Island general electorates","Access to a Fax Machine",8316
"Port Hills","South Island general electorates","Access to a Fax Machine",9705
"Rangitata","South Island general electorates","Access to a Fax Machine",9897
"Selwyn","South Island general electorates","Access to a Fax Machine",13407
"Waimakariri","South Island general electorates","Access to a Fax Machine",11370
"Waitaki","South Island general electorates","Access to a Fax Machine",13605
"West Coast-Tasman","South Island general electorates","Access to a Fax Machine",9708
"Wigram","South Island general electorates","Access to a Fax Machine",5271
"Area Outside General Electorate","South Island general electorates","Access to a Fax Machine",NA
"Auckland Central","North Island general electorates","Access to the Internet",44625
"Bay of Plenty","North Island general electorates","Access to the Internet",51219
"Botany","North Island general electorates","Access to the Internet",54663
"Coromandel","North Island general electorates","Access to the Internet",45492
"East Coast","North Island general electorates","Access to the Internet",58191
"East Coast Bays","North Island general electorates","Access to the Internet",53550
"Epsom","North Island general electorates","Access to the Internet",53283
"Hamilton East","North Island general electorates","Access to the Internet",54870
"Hamilton West","North Island general electorates","Access to the Internet",53616
"Helensville","North Island general electorates","Access to the Internet",50520
"Hunua","North Island general electorates","Access to the Internet",51954
"Hutt South","North Island general electorates","Access to the Internet",55548
"Kelston","North Island general electorates","Access to the Internet",47283
"Mana","North Island general electorates","Access to the Internet",53040
"Mangere","North Island general electorates","Access to the Internet",39714
"Manukau East","North Island general electorates","Access to the Internet",38703
"Manurewa","North Island general electorates","Access to the Internet",46341
"Maungakiekie","North Island general electorates","Access to the Internet",50328
"Mt Albert","North Island general electorates","Access to the Internet",52875
"Mt Roskill","North Island general electorates","Access to the Internet",49827
"Napier","North Island general electorates","Access to the Internet",50043
"New Lynn","North Island general electorates","Access to the Internet",49431
"New Plymouth","North Island general electorates","Access to the Internet",51192
"North Shore","North Island general electorates","Access to the Internet",56949
"Northcote","North Island general electorates","Access to the Internet",54837
"Northland","North Island general electorates","Access to the Internet",51522
"Ohariu","North Island general electorates","Access to the Internet",53898
"Otaki","North Island general electorates","Access to the Internet",46074
"Pakuranga","North Island general electorates","Access to the Internet",54162
"Palmerston North","North Island general electorates","Access to the Internet",50367
"Papakura","North Island general electorates","Access to the Internet",53421
"Rangitikei","North Island general electorates","Access to the Internet",48741
"Rimutaka","North Island general electorates","Access to the Internet",51243
"Rodney","North Island general electorates","Access to the Internet",51195
"Rongotai","North Island general electorates","Access to the Internet",52122
"Rotorua","North Island general electorates","Access to the Internet",51579
"Tamaki","North Island general electorates","Access to the Internet",50037
"Taranaki-King Country","North Island general electorates","Access to the Internet",48564
"Taupo","North Island general electorates","Access to the Internet",52329
"Tauranga","North Island general electorates","Access to the Internet",48867
"Te Atatu","North Island general electorates","Access to the Internet",52239
"Tukituki","North Island general electorates","Access to the Internet",50946
"Upper Harbour","North Island general electorates","Access to the Internet",55626
"Waikato","North Island general electorates","Access to the Internet",51720
"Wairarapa","North Island general electorates","Access to the Internet",47181
"Wellington Central","North Island general electorates","Access to the Internet",51828
"Whanganui","North Island general electorates","Access to the Internet",47904
"Whangarei","North Island general electorates","Access to the Internet",51207
"Christchurch Central","South Island general electorates","Access to the Internet",48681
"Christchurch East","South Island general electorates","Access to the Internet",49032
"Clutha-Southland","South Island general electorates","Access to the Internet",50073
"Dunedin North","South Island general electorates","Access to the Internet",46713
"Dunedin South","South Island general electorates","Access to the Internet",47490
"Ilam","South Island general electorates","Access to the Internet",51024
"Invercargill","South Island general electorates","Access to the Internet",47358
"Kaikoura","South Island general electorates","Access to the Internet",48015
"Nelson","South Island general electorates","Access to the Internet",49911
"Port Hills","South Island general electorates","Access to the Internet",52974
"Rangitata","South Island general electorates","Access to the Internet",47622
"Selwyn","South Island general electorates","Access to the Internet",49386
"Waimakariri","South Island general electorates","Access to the Internet",48726
"Waitaki","South Island general electorates","Access to the Internet",48957
"West Coast-Tasman","South Island general electorates","Access to the Internet",45093
"Wigram","South Island general electorates","Access to the Internet",46302
"Area Outside General Electorate","South Island general electorates","Access to the Internet",NA
"Auckland Central","North Island general electorates","Not Elsewhere Included(4)",4389
"Bay of Plenty","North Island general electorates","Not Elsewhere Included(4)",2520
"Botany","North Island general electorates","Not Elsewhere Included(4)",2385
"Coromandel","North Island general electorates","Not Elsewhere Included(4)",2532
"East Coast","North Island general electorates","Not Elsewhere Included(4)",6873
