"level0","level1","level2","Ethnic group (grouped total responses)(1)","count"
"Female","5–9 Years","Ikaroa-Rāwhiti","Māori",4233
"Male","10–14 Years","Ikaroa-Rāwhiti","Māori",4218
"Female","10–14 Years","Ikaroa-Rāwhiti","Māori",4086
"Male","15–19 Years","Ikaroa-Rāwhiti","Māori",3552
"Female","15–19 Years","Ikaroa-Rāwhiti","Māori",3480
"Male","20–24 Years","Ikaroa-Rāwhiti","Māori",2478
"Female","20–24 Years","Ikaroa-Rāwhiti","Māori",3021
"Male","25–29 Years","Ikaroa-Rāwhiti","Māori",1914
"Female","25–29 Years","Ikaroa-Rāwhiti","Māori",2574
"Male","30–34 Years","Ikaroa-Rāwhiti","Māori",1884
"Female","30–34 Years","Ikaroa-Rāwhiti","Māori",2400
"Male","35–39 Years","Ikaroa-Rāwhiti","Māori",1995
"Female","35–39 Years","Ikaroa-Rāwhiti","Māori",2445
"Male","40–44 Years","Ikaroa-Rāwhiti","Māori",2058
"Female","40–44 Years","Ikaroa-Rāwhiti","Māori",2646
"Male","45–49 Years","Ikaroa-Rāwhiti","Māori",1986
"Female","45–49 Years","Ikaroa-Rāwhiti","Māori",2391
"Male","50–54 Years","Ikaroa-Rāwhiti","Māori",1920
"Female","50–54 Years","Ikaroa-Rāwhiti","Māori",2280
"Male","55–59 Years","Ikaroa-Rāwhiti","Māori",1596
"Female","55–59 Years","Ikaroa-Rāwhiti","Māori",1809
"Male","60–64 Years","Ikaroa-Rāwhiti","Māori",1272
"Female","60–64 Years","Ikaroa-Rāwhiti","Māori",1383
"Male","65–69 Years","Ikaroa-Rāwhiti","Māori",804
"Female","65–69 Years","Ikaroa-Rāwhiti","Māori",948
"Male","70–74 Years","Ikaroa-Rāwhiti","Māori",540
"Female","70–74 Years","Ikaroa-Rāwhiti","Māori",651
"Male","75–79 Years","Ikaroa-Rāwhiti","Māori",318
"Female","75–79 Years","Ikaroa-Rāwhiti","Māori",441
"Male","80–84 Years","Ikaroa-Rāwhiti","Māori",174
"Female","80–84 Years","Ikaroa-Rāwhiti","Māori",240
