"level0","level1","level2","Languages spoken(1) (total responses)(2)","count"
"Female","10–14 Years","Ikaroa-Rāwhiti","Māori",1038
"Male","15–19 Years","Ikaroa-Rāwhiti","Māori",780
"Female","15–19 Years","Ikaroa-Rāwhiti","Māori",888
"Male","20–24 Years","Ikaroa-Rāwhiti","Māori",570
"Female","20–24 Years","Ikaroa-Rāwhiti","Māori",828
"Male","25–29 Years","Ikaroa-Rāwhiti","Māori",435
"Female","25–29 Years","Ikaroa-Rāwhiti","Māori",708
"Male","30–34 Years","Ikaroa-Rāwhiti","Māori",435
"Female","30–34 Years","Ikaroa-Rāwhiti","Māori",681
"Male","35–39 Years","Ikaroa-Rāwhiti","Māori",462
"Female","35–39 Years","Ikaroa-Rāwhiti","Māori",660
"Male","40–44 Years","Ikaroa-Rāwhiti","Māori",477
"Female","40–44 Years","Ikaroa-Rāwhiti","Māori",636
"Male","45–49 Years","Ikaroa-Rāwhiti","Māori",486
"Female","45–49 Years","Ikaroa-Rāwhiti","Māori",594
"Male","50–54 Years","Ikaroa-Rāwhiti","Māori",501
"Female","50–54 Years","Ikaroa-Rāwhiti","Māori",576
"Male","55–59 Years","Ikaroa-Rāwhiti","Māori",438
"Female","55–59 Years","Ikaroa-Rāwhiti","Māori",480
"Male","60–64 Years","Ikaroa-Rāwhiti","Māori",411
"Female","60–64 Years","Ikaroa-Rāwhiti","Māori",372
"Male","65–69 Years","Ikaroa-Rāwhiti","Māori",315
"Female","65–69 Years","Ikaroa-Rāwhiti","Māori",315
"Male","70–74 Years","Ikaroa-Rāwhiti","Māori",249
"Female","70–74 Years","Ikaroa-Rāwhiti","Māori",276
"Male","75–79 Years","Ikaroa-Rāwhiti","Māori",147
"Female","75–79 Years","Ikaroa-Rāwhiti","Māori",198
"Male","80–84 Years","Ikaroa-Rāwhiti","Māori",96
"Female","80–84 Years","Ikaroa-Rāwhiti","Māori",129
"Male","85 Years And Over","Ikaroa-Rāwhiti","Māori",36
"Female","85 Years And Over","Ikaroa-Rāwhiti","Māori",75
"Male","0–4 Years","Tāmaki Makaurau","Māori",534
"Female","0–4 Years","Tāmaki Makaurau","Māori",519
"Male","5–9 Years","Tāmaki Makaurau","Māori",567
"Female","5–9 Years","Tāmaki Makaurau","Māori",630
"Male","10–14 Years","Tāmaki Makaurau","Māori",576
"Female","10–14 Years","Tāmaki Makaurau","Māori",660
"Male","15–19 Years","Tāmaki Makaurau","Māori",564
"Female","15–19 Years","Tāmaki Makaurau","Māori",732
"Male","20–24 Years","Tāmaki Makaurau","Māori",507
"Female","20–24 Years","Tāmaki Makaurau","Māori",756
"Male","25–29 Years","Tāmaki Makaurau","Māori",372
"Female","25–29 Years","Tāmaki Makaurau","Māori",609
"Male","30–34 Years","Tāmaki Makaurau","Māori",402
"Female","30–34 Years","Tāmaki Makaurau","Māori",543
"Male","35–39 Years","Tāmaki Makaurau","Māori",423
"Female","35–39 Years","Tāmaki Makaurau","Māori",531
"Male","40–44 Years","Tāmaki Makaurau","Māori",447
"Female","40–44 Years","Tāmaki Makaurau","Māori",564
"Male","45–49 Years","Tāmaki Makaurau","Māori",459
"Female","45–49 Years","Tāmaki Makaurau","Māori",459
"Male","50–54 Years","Tāmaki Makaurau","Māori",423
"Female","50–54 Years","Tāmaki Makaurau","Māori",480
"Male","55–59 Years","Tāmaki Makaurau","Māori",327
"Female","55–59 Years","Tāmaki Makaurau","Māori",444
"Male","60–64 Years","Tāmaki Makaurau","Māori",303
"Female","60–64 Years","Tāmaki Makaurau","Māori",345
"Male","65–69 Years","Tāmaki Makaurau","Māori",276
"Female","65–69 Years","Tāmaki Makaurau","Māori",246
"Male","70–74 Years","Tāmaki Makaurau","Māori",192
"Female","70–74 Years","Tāmaki Makaurau","Māori",255
"Male","75–79 Years","Tāmaki Makaurau","Māori",93
"Female","75–79 Years","Tāmaki Makaurau","Māori",141
"Male","80–84 Years","Tāmaki Makaurau","Māori",39
"Female","80–84 Years","Tāmaki Makaurau","Māori",87
"Male","85 Years And Over","Tāmaki Makaurau","Māori",12
"Female","85 Years And Over","Tāmaki Makaurau","Māori",30
"Male","0–4 Years","Te Tai Hauāuru","Māori",654
"Female","0–4 Years","Te Tai Hauāuru","Māori",687
"Male","5–9 Years","Te Tai Hauāuru","Māori",825
"Female","5–9 Years","Te Tai Hauāuru","Māori",891
"Male","10–14 Years","Te Tai Hauāuru","Māori",780
"Female","10–14 Years","Te Tai Hauāuru","Māori",969
"Male","15–19 Years","Te Tai Hauāuru","Māori",807
"Female","15–19 Years","Te Tai Hauāuru","Māori",909
"Male","20–24 Years","Te Tai Hauāuru","Māori",588
"Female","20–24 Years","Te Tai Hauāuru","Māori",777
"Male","25–29 Years","Te Tai Hauāuru","Māori",489
"Female","25–29 Years","Te Tai Hauāuru","Māori",732
