"level0","level1","Occupied dwelling type","count"
"Waitaki","South Island general electorates","Occupied private dwelling not further defined(3)",2706
"West Coast-Tasman","South Island general electorates","Occupied private dwelling not further defined(3)",3429
"Wigram","South Island general electorates","Occupied private dwelling not further defined(3)",2859
"Area Outside General Electorate","South Island general electorates","Occupied private dwelling not further defined(3)",NA
"Auckland Central","North Island general electorates","Institution",2757
"Bay of Plenty","North Island general electorates","Institution",309
"Botany","North Island general electorates","Institution",285
"Coromandel","North Island general electorates","Institution",624
"East Coast","North Island general electorates","Institution",708
"East Coast Bays","North Island general electorates","Institution",504
"Epsom","North Island general electorates","Institution",1809
"Hamilton East","North Island general electorates","Institution",1863
"Hamilton West","North Island general electorates","Institution",633
"Helensville","North Island general electorates","Institution",984
"Hunua","North Island general electorates","Institution",327
"Hutt South","North Island general electorates","Institution",420
"Kelston","North Island general electorates","Institution",402
"Mana","North Island general electorates","Institution",789
"Mangere","North Island general electorates","Institution",411
"Manukau East","North Island general electorates","Institution",570
"Manurewa","North Island general electorates","Institution",651
"Maungakiekie","North Island general electorates","Institution",600
"Mt Albert","North Island general electorates","Institution",1008
"Mt Roskill","North Island general electorates","Institution",657
"Napier","North Island general electorates","Institution",837
"New Lynn","North Island general electorates","Institution",651
"New Plymouth","North Island general electorates","Institution",1197
"North Shore","North Island general electorates","Institution",696
"Northcote","North Island general electorates","Institution",834
"Northland","North Island general electorates","Institution",522
"Ohariu","North Island general electorates","Institution",372
"Otaki","North Island general electorates","Institution",1074
"Pakuranga","North Island general electorates","Institution",558
"Palmerston North","North Island general electorates","Institution",1071
"Papakura","North Island general electorates","Institution",732
"Rangitikei","North Island general electorates","Institution",2259
"Rimutaka","North Island general electorates","Institution",1536
"Rodney","North Island general electorates","Institution",735
"Rongotai","North Island general electorates","Institution",672
"Rotorua","North Island general electorates","Institution",789
"Tamaki","North Island general electorates","Institution",663
"Taranaki-King Country","North Island general electorates","Institution",723
"Taupo","North Island general electorates","Institution",939
"Tauranga","North Island general electorates","Institution",1032
"Te Atatu","North Island general electorates","Institution",522
"Tukituki","North Island general electorates","Institution",1260
"Upper Harbour","North Island general electorates","Institution",459
"Waikato","North Island general electorates","Institution",1338
"Wairarapa","North Island general electorates","Institution",954
"Wellington Central","North Island general electorates","Institution",2826
"Whanganui","North Island general electorates","Institution",1302
"Whangarei","North Island general electorates","Institution",1044
"Christchurch Central","South Island general electorates","Institution",1584
"Christchurch East","South Island general electorates","Institution",531
"Clutha-Southland","South Island general electorates","Institution",711
"Dunedin North","South Island general electorates","Institution",4326
"Dunedin South","South Island general electorates","Institution",972
"Ilam","South Island general electorates","Institution",2433
"Invercargill","South Island general electorates","Institution",1104
"Kaikoura","South Island general electorates","Institution",678
"Nelson","South Island general electorates","Institution",1212
"Port Hills","South Island general electorates","Institution",882
"Rangitata","South Island general electorates","Institution",876
"Selwyn","South Island general electorates","Institution",1701
"Waimakariri","South Island general electorates","Institution",396
"Waitaki","South Island general electorates","Institution",687
"West Coast-Tasman","South Island general electorates","Institution",981
"Wigram","South Island general electorates","Institution",1185
"Area Outside General Electorate","South Island general electorates","Institution",NA
"Auckland Central","North Island general electorates","Other non–private dwellings(4)",2085
"Bay of Plenty","North Island general electorates","Other non–private dwellings(4)",54
"Botany","North Island general electorates","Other non–private dwellings(4)",3
"Coromandel","North Island general electorates","Other non–private dwellings(4)",153
"East Coast","North Island general electorates","Other non–private dwellings(4)",327
"East Coast Bays","North Island general electorates","Other non–private dwellings(4)",63
"Epsom","North Island general electorates","Other non–private dwellings(4)",825
"Hamilton East","North Island general electorates","Other non–private dwellings(4)",75
"Hamilton West","North Island general electorates","Other non–private dwellings(4)",189
"Helensville","North Island general electorates","Other non–private dwellings(4)",33
"Hunua","North Island general electorates","Other non–private dwellings(4)",54
"Hutt South","North Island general electorates","Other non–private dwellings(4)",330
"Kelston","North Island general electorates","Other non–private dwellings(4)",78
"Mana","North Island general electorates","Other non–private dwellings(4)",204
"Mangere","North Island general electorates","Other non–private dwellings(4)",417
"Manukau East","North Island general electorates","Other non–private dwellings(4)",540
"Manurewa","North Island general electorates","Other non–private dwellings(4)",84
"Maungakiekie","North Island general electorates","Other non–private dwellings(4)",246
"Mt Albert","North Island general electorates","Other non–private dwellings(4)",666
"Mt Roskill","North Island general electorates","Other non–private dwellings(4)",111
"Napier","North Island general electorates","Other non–private dwellings(4)",306
"New Lynn","North Island general electorates","Other non–private dwellings(4)",105
